case,frame,rank_a,rank_b,pair_similarity,iou,containment,nested,gdino_a,gdino_b,siglip_source_a,siglip_source_b,sam_a,sam_b,crop_a,crop_b,track_a,track_b,birth_a,obs_a,life_a,birth_b,obs_b,life_b,first_frame,post_initial_a,post_initial_b,persistent_a,persistent_b,new_persistent_a,new_persistent_b,has_new_persistent_track,spatially_distinct,eligible,min_siglip,min_gdino,semantic_support,dup_evidence,eligible_dup_evidence
Cosmos2.5_0036,9,1,3,0.0821683555841445,0.0150517335583388,1.0,True,0.7439025044441223,0.1789017915725708,0.7763060331344604,0.600932240486145,0.97265625,0.98828125,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0009_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0009_rank_03.png,T00,T03,0,32,92,9,7,24,0,False,True,True,True,False,True,True,False,False,0.600932240486145,0.1789017915725708,0.32788390389997846,0.02694168120597089,0.0
Cosmos2.5_0036,9,2,3,0.321817010641098,0.1263610385715254,0.996982540658133,True,0.1027691736817359,0.1789017915725708,0.6238125562667847,0.600932240486145,0.9296875,0.98828125,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0009_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0009_rank_03.png,T01,T03,0,6,15,9,7,24,0,False,True,True,True,False,True,True,False,False,0.600932240486145,0.1027691736817359,0.24851018046244167,0.07997480339030277,0.0
Cosmos2.5_0036,12,1,2,0.1591875553131103,0.0,0.0,False,0.7442945241928101,0.1000190079212188,0.8647613525390625,0.6181515455245972,0.97265625,0.9453125,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0012_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0012_rank_02.png,T00,T01,0,32,92,0,6,15,0,False,False,True,True,False,False,False,True,False,0.6181515455245972,0.1000190079212188,0.24865016454516642,0.039582011822147656,0.0
Cosmos2.5_0036,12,1,3,0.0678089633584022,0.0153491430550644,1.0,True,0.7442945241928101,0.1675406545400619,0.8647613525390625,0.6058709621429443,0.97265625,0.984375,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0012_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0012_rank_03.png,T00,T03,0,32,92,9,7,24,0,False,True,True,True,False,True,True,False,False,0.6058709621429443,0.1675406545400619,0.31860322905495786,0.02160415468485626,0.0
Cosmos2.5_0036,12,2,3,0.4215908646583557,0.1011191094879154,0.9977632420442496,True,0.1000190079212188,0.1675406545400619,0.6181515455245972,0.6058709621429443,0.9453125,0.984375,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0012_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0012_rank_03.png,T01,T03,0,6,15,9,7,24,0,False,True,True,True,False,True,True,False,False,0.6058709621429443,0.1000190079212188,0.24616785444450623,0.10378211860635163,0.0
Cosmos2.5_0036,15,1,2,0.0838177800178527,0.0,0.0,False,0.7040117383003235,0.1962819248437881,0.8282496333122253,0.6234102249145508,0.97265625,0.95703125,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0015_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0015_rank_02.png,T00,T04,0,32,92,15,19,66,0,False,True,True,True,False,True,True,True,True,0.6234102249145508,0.1962819248437881,0.34980588747693614,0.02931995292549157,0.02931995292549157
Cosmos2.5_0036,15,1,3,0.1326896250247955,0.0,0.0,False,0.7040117383003235,0.1176283210515976,0.8282496333122253,0.6221455335617065,0.97265625,0.9453125,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0015_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0015_rank_03.png,T00,T01,0,32,92,0,6,15,0,False,False,True,True,False,False,False,True,False,0.6221455335617065,0.1176283210515976,0.2705215972202846,0.035895409296268325,0.0
Cosmos2.5_0036,15,2,3,0.2598312199115753,0.0,0.0,False,0.1962819248437881,0.1176283210515976,0.6234102249145508,0.6221455335617065,0.95703125,0.9453125,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0015_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0015_rank_03.png,T04,T01,15,19,66,0,6,15,0,True,False,True,True,True,False,True,True,True,0.6221455335617065,0.1176283210515976,0.2705215972202846,0.07028995661817437,0.07028995661817437
Cosmos2.5_0036,18,1,2,0.0502214133739471,0.0,0.0,False,0.7260834574699402,0.1697554439306259,0.8038862347602844,0.6301881074905396,0.97265625,0.95703125,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0018_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0018_rank_02.png,T00,T04,0,32,92,15,19,66,0,False,True,True,True,False,True,True,True,True,0.6301881074905396,0.1697554439306259,0.3270747039238246,0.016426153909919753,0.016426153909919753
Cosmos2.5_0036,18,1,3,0.049940675497055,0.0166743723464332,1.0,True,0.7260834574699402,0.2330711185932159,0.8038862347602844,0.6049580574035645,0.97265625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0018_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0018_rank_03.png,T00,T03,0,32,92,9,7,24,0,False,True,True,True,False,True,True,False,False,0.6049580574035645,0.2330711185932159,0.37549733839406596,0.0187525907267459,0.0
