case,n_frames,peak_frame,peak_score,median_score,mean_score,p90_score,frames_with_pair
Cosmos2.5_0058,32,87,0.6373960375785828,0.5499401092529297,0.44759732857346535,0.594769936800003,27
Cosmos2.5_0060,32,27,0.7254334092140198,0.5509080290794373,0.5311821177601814,0.6737262010574341,30
Cosmos3_seed101_0010,64,90,0.717988133430481,0.6007407903671265,0.5879536271095276,0.687828654050827,64
Cosmos3_seed101_0020,64,186,0.8188588619232178,0.0,0.22717692563310266,0.7150392353534699,23
Cosmos3_seed101_0036,64,132,0.9157558679580688,0.3385891616344452,0.3633778372313827,0.6931208074092867,62
LVP_0030,17,48,0.7866881489753723,0.0,0.17708698879269993,0.5707272171974184,7
