case,frame,n_crops,n_pairs,n_distinct_pairs,frame_score,best_pair,best_containment,best_iou
Cosmos3_seed101_0010,42,2,1,1,0.6784253120422363,1-2,0.0,0.0
Cosmos3_seed101_0010,45,2,1,1,0.6703090667724609,1-2,0.0,0.0
Cosmos3_seed101_0010,48,2,1,1,0.6667760610580444,1-2,0.0,0.0
Cosmos3_seed101_0010,51,2,1,1,0.6941468715667725,1-2,0.0,0.0
Cosmos3_seed101_0010,54,2,1,1,0.6568631529808044,1-2,0.0,0.0
Cosmos3_seed101_0010,57,2,1,1,0.687995970249176,1-2,0.0,0.0
Cosmos3_seed101_0010,60,3,3,3,0.695614755153656,1-2,0.0,0.0
Cosmos3_seed101_0010,63,3,3,3,0.6805768013000488,1-2,0.0,0.0
Cosmos3_seed101_0010,66,3,3,3,0.7018935084342957,2-3,0.0,0.0
Cosmos3_seed101_0010,69,3,3,3,0.6968802809715271,1-2,0.0,0.0
Cosmos3_seed101_0010,72,3,3,3,0.7099475264549255,1-2,0.0,0.0
Cosmos3_seed101_0010,75,3,3,3,0.659089207649231,2-3,0.0,0.0
Cosmos3_seed101_0010,78,3,3,3,0.6847980618476868,2-3,0.0,0.0
Cosmos3_seed101_0010,81,3,3,3,0.6701467037200928,1-2,0.0,0.0
Cosmos3_seed101_0010,84,3,3,3,0.6874382495880127,1-2,0.0,0.0
Cosmos3_seed101_0010,87,3,3,3,0.686538815498352,2-3,0.0,0.0
Cosmos3_seed101_0010,90,3,3,3,0.717988133430481,2-3,0.0,0.0
Cosmos3_seed101_0010,93,3,3,3,0.522868812084198,2-3,0.0,0.0
Cosmos3_seed101_0010,96,3,3,3,0.5484421849250793,1-3,0.0,0.0
Cosmos3_seed101_0010,99,2,1,1,0.5498709082603455,1-2,0.0,0.0
Cosmos3_seed101_0010,102,2,1,1,0.5544118285179138,1-2,0.0,0.0
Cosmos3_seed101_0010,105,2,1,1,0.5988463163375854,1-2,0.0,0.0
Cosmos3_seed101_0010,108,2,1,1,0.5821748375892639,1-2,0.0,0.0
Cosmos3_seed101_0010,111,2,1,1,0.5764977335929871,1-2,0.0,0.0
Cosmos3_seed101_0010,114,2,1,1,0.5132766962051392,1-2,0.0,0.0
Cosmos3_seed101_0010,117,2,1,1,0.46795862913131714,1-2,0.0,0.0
Cosmos3_seed101_0010,120,2,1,1,0.43133485317230225,1-2,0.0,0.0
Cosmos3_seed101_0010,123,2,1,1,0.4696267247200012,1-2,0.0,0.0
Cosmos3_seed101_0010,126,2,1,1,0.453318327665329,1-2,0.0,0.0
Cosmos3_seed101_0010,129,2,1,1,0.4685295820236206,1-2,0.0,0.0
Cosmos3_seed101_0010,132,3,3,3,0.39770713448524475,1-2,0.0,0.0
Cosmos3_seed101_0010,135,3,3,3,0.42175573110580444,1-2,0.0,0.0
Cosmos3_seed101_0010,138,2,1,1,0.521303117275238,1-2,0.0,0.0
Cosmos3_seed101_0010,141,3,3,3,0.5571197271347046,1-2,0.0,0.0
Cosmos3_seed101_0010,144,3,3,3,0.5653800368309021,1-2,0.0,0.0
Cosmos3_seed101_0010,147,2,1,1,0.5385228991508484,1-2,0.0,0.0
