case,frame,rank_a,rank_b,pair_similarity,iou,containment,nested,gdino_a,gdino_b,siglip_source_a,siglip_source_b,sam_a,sam_b,crop_a,crop_b
Cosmos2.5_0058,42,2,3,0.5547996759414673,0.3051280235542213,1.0,True,0.3562753796577453,0.1125428080558776,0.8377852439880371,0.7015450596809387,0.97265625,0.95703125,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0042_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0042_rank_03.png
Cosmos2.5_0058,45,1,2,0.5478748083114624,0.0,0.0,False,0.5502910614013672,0.3102113306522369,0.9499635696411132,0.8435566425323486,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0045_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0045_rank_02.png
Cosmos2.5_0058,45,1,3,0.4420921206474304,0.0,0.0,False,0.5502910614013672,0.1141653880476951,0.9499635696411132,0.7072458863258362,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0045_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0045_rank_03.png
Cosmos2.5_0058,45,2,3,0.6968173384666443,0.3249964400056505,1.0,True,0.3102113306522369,0.1141653880476951,0.8435566425323486,0.7072458863258362,0.96875,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0045_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0045_rank_03.png
Cosmos2.5_0058,48,1,2,0.591279923915863,0.0,0.0,False,0.538156270980835,0.3376995921134949,0.9477757215499878,0.8169950246810913,0.9765625,0.96484375,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0048_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0048_rank_02.png
Cosmos2.5_0058,48,1,3,0.4274470806121826,0.0,0.0,False,0.538156270980835,0.1040560528635978,0.9477757215499878,0.7012025117874146,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0048_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0048_rank_03.png
Cosmos2.5_0058,48,2,3,0.6206506490707397,0.33573968340688964,1.0,True,0.3376995921134949,0.1040560528635978,0.8169950246810913,0.7012025117874146,0.96484375,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0048_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0048_rank_03.png
Cosmos2.5_0058,51,1,2,0.5646776556968689,0.0,0.0,False,0.5004051327705383,0.3893924653530121,0.9572149515151978,0.8199961185455322,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0051_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0051_rank_02.png
Cosmos2.5_0058,51,1,3,0.5065587162971497,0.0,0.0,False,0.5004051327705383,0.1397786289453506,0.9572149515151978,0.6713608503341675,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0051_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0051_rank_03.png
Cosmos2.5_0058,51,2,3,0.6892430782318115,0.3529794634908737,1.0,True,0.3893924653530121,0.1397786289453506,0.8199961185455322,0.6713608503341675,0.96875,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0051_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0051_rank_03.png
Cosmos2.5_0058,54,1,2,0.5948339700698853,0.0,0.0,False,0.4751045703887939,0.4241486191749573,0.9588934183120728,0.7939081788063049,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0054_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0054_rank_02.png
Cosmos2.5_0058,54,1,3,0.2463821917772293,0.0,0.0,False,0.4751045703887939,0.1747581958770752,0.9588934183120728,0.6321759819984436,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0054_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0054_rank_03.png
Cosmos2.5_0058,54,2,3,0.34140968322753906,0.29837499967055703,1.0,True,0.4241486191749573,0.1747581958770752,0.7939081788063049,0.6321759819984436,0.96875,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0054_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0054_rank_03.png
Cosmos2.5_0058,57,1,2,0.5532741546630859,0.0,0.0,False,0.4778877198696136,0.4034358561038971,0.9667527675628662,0.7419226765632629,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0057_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0057_rank_02.png
Cosmos2.5_0058,57,1,3,0.23393219709396362,0.0,0.0,False,0.4778877198696136,0.177697479724884,0.9667527675628662,0.6624120473861694,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0057_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0057_rank_03.png
