split,case,frame,score,pair_similarity,min_gdino,min_siglip,edge_gap_norm
POS,Cosmos2.5_0058,15,0.0844479125211796,0.3202137053012848,0.1008836403489112,0.6894094944000244,0.21806556025026252
POS,Cosmos2.5_0058,18,0.1206163228243478,0.3581812977790832,0.1662404537200927,0.6821339130401611,0.4132337938937201
POS,Cosmos2.5_0058,21,0.1218662553235426,0.293891966342926,0.2198399752378463,0.7821406126022339,0.491347087779578
POS,Cosmos2.5_0058,24,0.24038644289777,0.5355935096740723,0.2345937192440033,0.858683168888092,0.6088844910947636
POS,Cosmos2.5_0058,27,0.2896390508517911,0.6120738387107849,0.2604678273200989,0.8597110509872437,0.6722642004414408
POS,Cosmos2.5_0058,30,0.2704845470976282,0.5706413984298706,0.2600313127040863,0.8640377521514893,0.7539855895193804
POS,Cosmos2.5_0058,33,0.2510040878260213,0.5898227095603943,0.2327474951744079,0.7780967354774475,0.8572581511199417
POS,Cosmos2.5_0058,36,0.2119367888145099,0.5941936373710632,0.1570647805929184,0.8099867105484009,0.9022469471495069
POS,Cosmos2.5_0058,39,0.2538482742726173,0.4889046251773834,0.3182624280452728,0.8470611572265625,0.9518382711668387
POS,Cosmos2.5_0058,42,0.2742543779544252,0.5019891262054443,0.3562753796577453,0.8377852439880371,0.9533804388431304
POS,Cosmos2.5_0058,45,0.2802639798317621,0.5478748083114624,0.3102113306522369,0.8435566425323486,0.9349719527891333
POS,Cosmos2.5_0058,48,0.3105761538021296,0.591279923915863,0.3376995921134949,0.8169950246810913,0.9503423686127604
POS,Cosmos2.5_0058,51,0.3190805068565604,0.5646776556968689,0.3893924653530121,0.8199961185455322,1.000253081952608
POS,Cosmos2.5_0058,54,0.3451754734633067,0.5948339700698853,0.4241486191749573,0.7939081788063049,1.0319894000179466
POS,Cosmos2.5_0058,57,0.3026961889797589,0.5532741546630859,0.4034358561038971,0.7419226765632629,1.0698080515630104
POS,Cosmos2.5_0058,60,0.2971752494855063,0.552005410194397,0.3943619132041931,0.7349260449409485,1.0847046204519388
POS,Cosmos2.5_0058,63,0.2791122101382189,0.502679705619812,0.4089924693107605,0.7538061141967773,1.126628889974665
POS,Cosmos2.5_0058,66,0.2953553889627359,0.5115256905555725,0.4331423938274383,0.7697048187255859,1.1717354352354565
POS,Cosmos2.5_0058,69,0.3318945337562549,0.5634219646453857,0.4384068846702575,0.7915079593658447,1.2014114208628939
