audit_label,case,frame,rank_a,rank_b,dup_score,dino_similarity,min_siglip,min_gdino,iou,containment,box_area_a,box_area_b,box_size_ratio,center_distance,center_norm_sqrt_area,center_norm_diag,edge_gap,edge_gap_norm,enclosing_ratio,pair_fill,mask_size_ratio,mask_density_a,mask_density_b
TRUE_DUP,Cosmos2.5_0058,27,1,2,0.2896390508517911,0.6120738387107849,0.8597110509872437,0.2604678273200989,0.0,0.0,5607.206279635429,8689.203449100256,0.6453072842040591,135.00302670477825,1.4482832980631068,1.0074105799203554,62.66571044921875,0.6722642004414408,2.6783725211112204,0.6142936694711323,0.7458333333333333,0.734233733285746,0.635271119192356
TRUE_DUP,Cosmos2.5_0058,45,1,2,0.2802639798317621,0.5478748083114624,0.8435566425323486,0.3102113306522369,0.0,0.0,5881.318678610027,8628.395164208481,0.6816237048352137,163.25073196908954,1.7574789168750846,1.2172293047619491,86.8487548828125,0.9349719527891333,3.6204796800979158,0.4644753881866102,0.7402482269503546,0.7098748134808955,0.6536557369782195
TRUE_DUP,Cosmos2.5_0058,87,1,2,0.3248818803304838,0.6373960375785828,0.8503103256225586,0.3055306673049927,0.0,0.0,5596.125415891409,8220.058445446188,0.6807890057024587,188.61007425039955,2.0803070138766637,1.441549500975263,107.2982177734375,1.1834640111228039,4.860309264481778,0.345819353098649,0.6632653061224489,0.7317562948770522,0.7510895501503789
TRUE_DUP,Cosmos2.5_0060,18,1,2,0.330320987018396,0.6983115077018738,0.7916936278343201,0.2826290428638458,0.0,0.0,5231.853537261486,11184.09521444887,0.4677940805173395,228.6801095594852,2.1623598242050988,1.4941469098079856,145.80645751953125,1.3787208098563914,4.250967381168739,0.3452847196662779,0.48429598083577324,0.6955469938297939,0.6718469269013887
TRUE_DUP,Cosmos2.5_0060,27,1,2,0.3426077723362425,0.7254334092140198,0.8149405717849731,0.2736991047859192,0.0,0.0,5300.641340464354,10922.088571168482,0.4853138944923675,277.0534087487185,2.651005634994182,1.8271185010094484,180.15802559867788,1.7238551339561177,6.394691283072878,0.2322729634226566,0.44758364312267657,0.681426976095609,0.7388696719877125
TRUE_DUP,Cosmos2.5_0060,45,1,3,0.3315326616992587,0.6055601835250854,0.8357036113739014,0.3586623072624206,0.0,0.0,5283.8950542211605,7890.063714444632,0.669689782675359,288.50054477453705,3.247927919145634,2.2488208670294556,213.95562744140625,2.408704137346911,6.647452235389988,0.2511774020407689,0.606300539083558,0.6811263212210955,0.7523386647857793
TRUE_DUP,Cosmos2.5_0060,90,1,3,0.300545290058697,0.503384530544281,0.8095228672027588,0.440342903137207,0.0,0.0,5322.777810633186,7137.806038039736,0.7457162302066401,304.7606357349492,3.6072521396820245,2.4788763617163267,228.58648681640625,2.7056286048307348,8.538511211887139,0.20445206276432476,0.6866150651312063,0.6832898402661955,0.7421047828661258
TRUE_DUP,Cosmos3_seed101_0020,141,1,2,0.5523072717863773,0.7170673608779907,0.8763754367828369,0.6769419312477112,0.0,0.0,5246.892141401763,7081.662860199809,0.7409124445743132,108.64659038312108,1.291066100252604,0.9115475652417625,19.8983154296875,0.23645510100972267,2.9763991451998844,0.584905572017089,0.7890714558654949,0.39356631399103115,0.3695459741112501
TRUE_DUP,Cosmos3_seed101_0020,144,1,2,0.5444430877052375,0.691625714302063,0.9020869135856628,0.6869329214096069,0.0,0.0,5210.299519002442,10216.903092682362,0.509968575774611,128.99873071798535,1.2762207456254313,0.8889401615655468,30.69854736328125,0.3037093682048307,2.4038861914876306,0.6281364654955548,0.6382587369711833,0.39959315052939937,0.31927483019158104
TRUE_DUP,Cosmos3_seed101_0020,174,1,2,0.5694300279739486,0.7303260564804077,0.9205889701843262,0.6603609323501587,0.0,0.0,10259.991637706757,5115.8775797486305,0.4986239521820991,143.86133320882772,1.4202689001065116,0.9683104877455312,20.67382770291915,0.2041020604890012,3.3413819537161698,0.44850423355982433,0.5255989911727617,0.3864525566890452,0.4073592394488841
TRUE_DUP,Cosmos3_seed101_0020,186,1,2,0.6429967508173098,0.8188588619232178,0.9171329736709596,0.67230623960495,0.0,0.0,10003.875648379326,5167.750507965684,0.51657484455066,141.28274041095167,1.412553702552822,0.9632006324976882,19.27600475695565,0.1927227049154327,3.340693943987725,0.453970004429784,0.5551042512862172,0.3691569277551229,0.3966909774069172
TRUE_DUP,Cosmos3_seed101_0036,132,1,2,0.6874325815720541,0.9157558679580688,0.9595984816551208,0.5872340798377991,0.0,0.0,7278.609996140003,6374.910385608673,0.8758417320050695,104.44600983841728,1.224242997123617,0.848073945080399,5.71392822265625,0.06697466589174501,2.429846479747891,0.7720001027388765,0.8470191226096738,0.7328322307183281,0.708715844884559
TRUE_DUP,Cosmos3_seed101_0036,135,1,2,0.4414992392600675,0.6245359778404236,0.8557093143463135,0.5840079188346863,0.0,0.0,6414.433789812028,8189.368553638458,0.7832635383056679,120.88381414902413,1.3358046355599806,0.9232923012084191,17.42742919921875,0.19257864151697682,2.6200410705731176,0.6806242689606351,0.7671023595314888,0.7045048944425112,0.7193472807354219
TRUE_DUP,Cosmos3_seed101_0036,171,1,2,0.4076881066115582,0.6421210169792175,0.8394821882247925,0.4801874756813049,0.0,0.0,6404.994011476636,11850.394233204424,0.5404878424660379,197.17686801635298,1.8112965699547392,1.2673949240482194,63.86461783953702,0.5866700510966116,4.285286670753561,0.35948303131728293,0.535448861625575,0.7086657679721325,0.715334851582213
TRUE_DUP,Cosmos3_seed101_0036,183,1,2,0.5679659029523143,0.828493595123291,0.9383671283721924,0.5008335709571838,0.0,0.0,6450.491665549576,12059.00924007222,0.534910583210644,198.32713557719353,1.8060356779417368,1.2686407178539227,64.88000407781712,0.5908198180169634,4.2800853175769635,0.3586168193674199,0.49765616483157094,0.7076979921360872,0.7606760901648554
TRUE_DUP,LVP_0030,45,1,2,0.5364997181968477,0.7843929529190063,0.8401012420654297,0.5568522810935974,0.0,0.0,3721.639564491814,3491.4079572502555,0.9381370486711826,61.09620091601326,1.0014909998914097,0.7078585453132927,1.03521728515625,0.016969316888315215,2.1258101762852717,0.9117168928309316,0.923921568627451,0.6851818817516789,0.6747994015158074
TRUE_DUP,LVP_0030,48,1,2,0.5699864391988918,0.7866881489753723,0.8630735874176025,0.6082414388656616,0.0,0.0,3628.458185465077,3391.7797046378255,0.9347716113209349,61.56684994076363,1.0220823113351238,0.722217900801478,1.7584228515625,0.029191892944965044,2.1172187343047004,0.913826984417044,0.8789432176656151,0.6989194501837559,0.6571771147023868
FRAGMENT_FALSE,Cosmos3_seed101_0039,174,1,2,0.5804639508643231,0.848254919052124,0.7734258770942688,0.6054510474205017,0.0017607549566576,0.0045133336280206,5303.129406049848,3382.512218117714,0.6378332413044494,75.17374256693213,1.0322860535858374,0.7297634350002997,0.0,0.0,2.5873215492618953,0.6330226877952941,0.7867009315772566,0.5870118870659026,0.7240180794861427
FRAGMENT_FALSE,Cosmos3_seed101_0039,177,1,2,0.6373723310922651,0.9259004592895508,0.7642550468444824,0.620039701461792,0.0093633827030188,0.0242331454454865,3375.8525338768995,5442.917695194483,0.6202284735735427,74.38183662259148,1.0082100310364677,0.7128795966826528,0.0,0.0,2.537873645175304,0.6384196772970647,0.7271377672209026,0.7254463799659866,0.6187857668642658
FRAGMENT_FALSE,Cosmos3_seed101_0039,180,1,2,0.6117924154569425,0.8896011114120483,0.7604398727416992,0.6219459772109985,0.0222064433061536,0.0564072344347729,3359.9971786141396,5364.357819125052,0.626355901657986,66.10612182836148,0.9025739819923164,0.6370077777609569,0.0,0.0,2.2817688560803684,0.7127610219256594,0.7752596789423984,0.733036329814981,0.5922423721760942
FRAGMENT_FALSE,Cosmos3_seed101_0039,183,2,3,0.570003996712784,0.8764439225196838,0.7245504260063171,0.5837661623954773,0.0148532988597476,0.0370652829719228,3353.7345374003053,5139.563256651163,0.6525329818754934,65.84468277199562,0.9184544058916416,0.6465512132497022,0.0,0.0,2.327525619618245,0.7099956142036099,0.8115511551155116,0.7332124748031276,0.589544256718476
