case,frame,rank_a,rank_b,dino,base,width_ratio,height_ratio,area_ratio,aspect_ratio,mask_ratio,size_consistency,strict_size,size_score,strict_size_score,mask_size_score
Cosmos2.5_0016,27,1,2,0.3542134165763855,0.11203266982801802,0.917706229808949,0.5829582443395045,0.6352340492020705,0.5349844125488507,0.6648168701442841,0.7314262864765326,0.5829582443395045,0.0819436396563587,0.06531036851160876,0.07448120890897092
Cosmos2.5_0016,30,1,2,0.4807376861572265,0.2106405842731959,0.887834090443152,0.7125477052227777,0.8025685349242647,0.63262414376382,0.8411764705882353,0.7953767307155899,0.7125477052227777,0.16753861927523625,0.15009146495065084,0.17718590324157069
Cosmos2.5_0016,33,1,2,0.6246317028999329,0.2611479544333696,0.8554153291411987,0.8547273312911673,0.9991957148456503,0.7311468614224123,0.9607703281027105,0.8550712610200464,0.8547273312911673,0.22330011071014694,0.22321029416498134,0.25090320586430015
Cosmos2.5_0016,36,1,2,0.5573806166648865,0.25491180011328557,0.8665841086378984,0.9032545301476295,0.9594018958269298,0.7827460218811273,0.9394782608695652,0.8847293495081573,0.8665841086378984,0.22552795109618057,0.2209025150824537,0.23948409464555975
Cosmos2.5_0016,39,1,2,0.537857711315155,0.24123419358900977,0.8620629211869579,0.9001461416782541,0.957692180493833,0.775982612390325,0.9212352532963219,0.8808987526329715,0.8620629211869579,0.21250290022497947,0.2079590536155219,0.22223344343470539
Cosmos2.5_0016,42,1,2,0.5999158024787903,0.29230758041935834,0.8616501636273716,0.915599288313334,0.9410777996722294,0.7889262765922891,0.920695652173913,0.8882152197481696,0.8616501636273716,0.2596320417762361,0.25186687449786116,0.2691263183895797
Cosmos2.5_0016,45,1,2,0.5271111726760864,0.2615459306479633,0.8550357992210326,0.9226637836474397,0.9267035450778583,0.7889105656632905,0.9256922537679636,0.8882063756038292,0.8550357992210326,0.23230676311475792,0.22363113384459005,0.24211104200535263
Cosmos2.5_0016,48,1,2,0.4995886981487274,0.24928298642297764,0.8651808308449982,0.922500582817785,0.9378648067649961,0.7981298206972863,0.9238028661307235,0.8933811172715072,0.8651808308449982,0.2227047129273377,0.2156748613089542,0.23028833733517298
Cosmos2.5_0016,51,1,2,0.5450445413589478,0.2669652529528027,0.8810627534778248,0.9066363397748999,0.9717928951497526,0.7988035099251299,0.946023749550198,0.8937580824390513,0.8810627534778248,0.23860235255695322,0.23521314084950035,0.2525554695980275
Cosmos2.5_0016,54,1,2,0.59263676404953,0.2945864785124946,0.8830228284253525,0.9119519050826235,0.9682778483206853,0.8052743506139469,0.9544633176725695,0.8973707988417869,0.8830228284253525,0.26435330355074615,0.2601265854719673,0.2811719876225147
Cosmos2.5_0016,57,1,2,0.5764658451080322,0.27811479467298683,0.8801055497852511,0.9149327256566935,0.961934714001573,0.8052373695306025,0.9462172821799928,0.8973501933641083,0.8801055497852511,0.249566364777224,0.2447703742690813,0.26315702514952033
Cosmos2.5_0016,60,1,2,0.6068137884140015,0.29607467307685853,0.8723562596500533,0.9207251286431627,0.9474665483884547,0.8032003293889635,0.9375446109921485,0.8962144438631658,0.8723562596500533,0.2653463984735454,0.2582825943824406,0.27758321419447085
Cosmos2.5_0016,60,1,3,0.3396396934986114,0.10412422982195003,0.5797771716807065,0.793421181629104,0.4600074886364861,0.7307306448389369,0.5677544845472228,0.6782385189861204,0.5797771716807065,0.07062106342500983,0.06036885146960207,0.059116998431437806
Cosmos2.5_0016,63,1,2,0.5946300625801086,0.2968844723190827,0.8712774407934037,0.918294092898293,0.948800005936555,0.8000889271561249,0.9369911504424778,0.8944769014100503,0.8712774407934037,0.265556302876731,0.2586687432534705,0.2781781232667653
Cosmos2.5_0016,63,1,3,0.4315727353096008,0.12891839038955122,0.606482564768268,0.7804520492693375,0.4733305605195185,0.7770913861217477,0.5411981189940708,0.6879902328663674,0.606482564768268,0.0886945934248646,0.07818675604925186,0.06977039038256841
Cosmos2.5_0016,66,1,2,0.612797737121582,0.29684324499948817,0.8667120692957626,0.9199428901644264,0.9421368201898387,0.7973256059683346,0.9293212036389084,0.8929309077237356,0.8667120692957626,0.2650605082090522,0.25727762312997543,0.2758627217350037
Cosmos2.5_0016,69,1,2,0.6075084805488586,0.28007674653745307,0.864809415829824,0.9196762373674944,0.9403411556063223,0.7953446695903534,0.9246599232647367,0.8918209851704283,0.864809415829824,0.24977832002035974,0.24221300756057246,0.25897574296155845
Cosmos2.5_0016,72,1,2,0.6478808522224426,0.29537265472459945,0.8634401888050461,0.9170435402411888,0.9415476484114977,0.7918122475283,0.9265220433869839,0.8898383266236064,0.8634401888050461,0.26283390881050983,0.25503662076325584,0.2736692756160739
Cosmos2.5_0016,75,1,2,0.6465240716934204,0.3051590744463748,0.8671026548972435,0.9291151359351236,0.9332564085553653,0.805638201074559,0.922996878251821,0.8975735073377328,0.8671026548972435,0.2739027007467689,0.26460424361843715,0.281660873084219
Cosmos2.5_0016,78,1,2,0.6385812163352966,0.29426399454084473,0.856785166235055,0.9241836263482535,0.9270724364815773,0.7918268219325042,0.8935527199462726,0.8898465159410943,0.856785166235055,0.2618497903090799,0.25212102547966897,0.2629403927042269
Cosmos2.5_0016,81,1,2,0.5682727694511414,0.29653915844272627,0.8317071271678196,0.9312066180138676,0.8931499315820302,0.774491181067975,0.8599221789883269,0.8800518059000703,0.8317071271678196,0.2609698219076083,0.24663373156116275,0.2550005992834339
Cosmos2.5_0016,84,1,2,0.5335337519645691,0.2658529978592612,0.8214456706847755,0.9486207414226301,0.86593686477155,0.7792404011634012,0.8388520971302428,0.8827459437252608,0.8214456706847755,0.23468065548746328,0.21838379413005898,0.2230113447826032
Cosmos2.5_0016,87,1,2,0.5352124571800232,0.2845929871463946,0.8070169498277132,0.9505723475964873,0.8489800401497557,0.767127996547886,0.8192473781616286,0.8758584340793243,0.8070169498277132,0.24926316807199841,0.22967136442924094,0.23315205856286983
Cosmos2.5_0016,87,1,3,0.382494568824768,0.12540447908698435,0.5471901705938914,0.7668710528551305,0.41962430223531605,0.7135360873991173,0.4828213052172332,0.6477841478728203,0.5471901705938914,0.08123503362479707,0.06862009830484506,0.06054795427286501
Cosmos2.5_0016,90,1,2,0.5847760438919067,0.3258202788397912,0.7994951878924095,0.9518185192672896,0.8399659932104088,0.7609743259010765,0.809596577017115,0.8723384239508636,0.7994951878924095,0.28422554853433435,0.26049174505017614,0.2637829824714569
Cosmos2.5_0016,90,1,3,0.4230290949344635,0.1470843979657,0.5371786331341944,0.7734360380913315,0.4154733137586283,0.6945353030870297,0.5225882817123693,0.6445721943728477,0.5371786331341944,0.09480651315476046,0.07901059585458062,0.07686458279959346
Cosmos2.5_0016,92,1,2,0.5948744416236877,0.3308717129227664,0.7997377012805883,0.9491000356175496,0.8426274062461963,0.7590310807701036,0.8057575757575758,0.8712238981858244,0.7997377012805883,0.28826334353199357,0.26461058311162394,0.26660238929140484
Cosmos2.5_0016,92,1,3,0.3444305062294006,0.11765273624946655,0.5362093607706244,0.7719502635041907,0.4139269573402972,0.6946164618644677,0.4627567003132614,0.6433715546558592,0.5362093607706244,0.07569442383033505,0.06308649849724134,0.054444592009629575
Cosmos2.5_0036,0,1,2,0.1716467291116714,0.046476308819075565,0.4900396132358461,0.3159184901883673,0.15481257474595997,0.6446794945867411,0.194868566031796,0.39346229139011524,0.3159184901883673,0.018286674963308092,0.014682725311650654,0.00905677165402417
Cosmos2.5_0036,0,1,3,0.1514617651700973,0.03778437556341802,0.36753643662340135,0.21653655245349115,0.07958507288747237,0.5891566954363405,0.11735709545928524,0.28210826447921084,0.21653655245349115,0.010659284614626563,0.008181698421110476,0.0044342645698655335
Cosmos2.5_0036,0,2,3,0.5720272660255432,0.14270065470154372,0.7500137268423513,0.6854190532639625,0.5140736985872606,0.9138753448548999,0.6022371788795147,0.7169893294793589,0.6854190532639625,0.10231484673072536,0.0978097476456797,0.08593963971171745
Cosmos2.5_0036,3,1,2,0.2325446009635925,0.06465764353188354,0.9945896166685853,0.9442620164136193,0.9391531969395269,0.9493986269195729,0.9573914782956592,0.9690991677529843,0.9442620164136193,0.06265966853561747,0.061053756857969356,0.06190267692410375
Cosmos2.5_0036,3,1,3,0.176313430070877,0.04775204877759119,0.47916949804337927,0.2481927920475439,0.11892641558340644,0.5179645053806722,0.1942415293751943,0.34485709443682094,0.2481927920475439,0.016467632794845446,0.011851714312100864,0.00927543098535819
Cosmos2.5_0036,3,2,3,0.3297222256660461,0.08747666472171149,0.48177609137764305,0.2628431385921881,0.1266315399563765,0.5455711549333754,0.18596518495492695,0.35585325621156894,0.2628431385921881,0.03112885598374871,0.022992641109031185,0.01626761413421321
Cosmos2.5_0036,6,1,2,0.1714977771043777,0.04661468859341024,0.9757966772171508,0.9985851413453458,0.9744160628432073,0.9771792477329542,0.9198807157057655,0.98712515054739,0.9757966772171508,0.046014531495489785,0.045486458238961934,0.042879953105707594
Cosmos2.5_0036,6,1,3,0.1726054847240448,0.044828525407024235,0.48461989893186347,0.249649632748614,0.12098517979101014,0.5151452371205959,0.19140030441400305,0.3478292394135521,0.249649632748614,0.015592671896356335,0.011191424904525512,0.008580193409335309
