case,frame,gt,rank_a,rank_b,src_sim_a,src_sim_b,min_source_sim,pair_similarity,iou,containment,nested,raw_pair_score,distinct_pair_score
Cosmos2.5_0016,33,TRUE_DUP,1,2,0.23518022894859314,0.17109960317611694,0.17109960317611694,0.6246317028999329,0.0,0.0,False,0.10687423649740069,0.10687423649740069
Cosmos2.5_0016,60,TRUE_DUP,1,2,0.20242992043495178,0.1695624589920044,0.1695624589920044,0.6068137884140015,0.0,0.0,False,0.10289283811373195,0.10289283811373195
Cosmos2.5_0016,60,TRUE_DUP,1,3,0.20242992043495178,0.20763593912124634,0.20242992043495178,0.33963969349861145,0.0,0.0,False,0.06875323613147533,0.06875323613147533
Cosmos2.5_0016,60,TRUE_DUP,2,3,0.1695624589920044,0.20763593912124634,0.1695624589920044,0.5006484985351562,0.4855131713292808,1.0,True,0.084891190502276,0.0
Cosmos3_seed101_0003,144,TRUE_DUP,1,2,0.22778254747390747,0.3622131943702698,0.22778254747390747,0.6602310538291931,0.0,0.0,False,0.15038911136259614,0.15038911136259614
Cosmos3_seed101_0003,144,TRUE_DUP,1,3,0.22778254747390747,0.313215434551239,0.22778254747390747,0.6714603900909424,0.0,0.0,False,0.1529469581827385,0.1529469581827385
Cosmos3_seed101_0003,144,TRUE_DUP,2,3,0.3622131943702698,0.313215434551239,0.313215434551239,0.7566667795181274,0.41755486340219367,1.0,True,0.23699971415725685,0.0
Cosmos3_seed101_0003,156,TRUE_DUP,1,2,0.4193533658981323,0.255174458026886,0.255174458026886,0.6015489101409912,0.0,0.0,False,0.15349991712189137,0.15349991712189137
Cosmos3_seed101_0003,156,TRUE_DUP,1,3,0.4193533658981323,0.33892524242401123,0.33892524242401123,0.37301433086395264,0.0,0.0,False,0.12642397251569548,0.12642397251569548
Cosmos3_seed101_0003,156,TRUE_DUP,2,3,0.255174458026886,0.33892524242401123,0.255174458026886,0.2944686710834503,0.0,0.0,False,0.07514088354961679,0.07514088354961679
Cosmos3_seed101_0003,162,TRUE_DUP,1,2,0.289270281791687,0.29580405354499817,0.289270281791687,0.6358537077903748,0.0,0.0,False,0.18393358123081072,0.18393358123081072
Cosmos3_seed101_0003,162,TRUE_DUP,1,3,0.289270281791687,0.13819476962089539,0.13819476962089539,0.2528970241546631,0.0,0.0,False,0.03494904599086368,0.03494904599086368
Cosmos3_seed101_0003,162,TRUE_DUP,2,3,0.29580405354499817,0.13819476962089539,0.13819476962089539,0.21527698636054993,0.04397911975773535,0.7937855100886104,False,0.029750153534776835,0.029750153534776835
Cosmos3_seed101_0003,168,TRUE_DUP,1,2,0.2702973484992981,0.2544488310813904,0.2544488310813904,0.7251976728439331,0.0,0.0,False,0.18452570015808334,0.18452570015808334
Cosmos3_seed101_0003,168,TRUE_DUP,1,3,0.2702973484992981,0.1715518981218338,0.1715518981218338,0.41058072447776794,0.0,0.0,False,0.07043590261639876,0.07043590261639876
Cosmos3_seed101_0003,168,TRUE_DUP,2,3,0.2544488310813904,0.1715518981218338,0.1715518981218338,0.3204796612262726,0.0,0.0,False,0.054978894192809324,0.054978894192809324
Cosmos3_seed101_0003,30,NO_DUP,1,2,0.24025587737560272,0.2401580661535263,0.2401580661535263,0.24930815398693085,0.0,0.0,False,0.05987336413780686,0.05987336413780686
Cosmos3_seed101_0003,30,NO_DUP,1,3,0.24025587737560272,0.33326974511146545,0.24025587737560272,0.338912695646286,0.0,0.0,False,0.08142576704622906,0.08142576704622906
Cosmos3_seed101_0003,30,NO_DUP,2,3,0.2401580661535263,0.33326974511146545,0.2401580661535263,0.46587637066841125,0.4920572759700912,1.0,True,0.11188396824634905,0.0
Cosmos3_seed101_0003,54,NO_DUP,1,2,0.3489082157611847,0.37814486026763916,0.3489082157611847,0.48198336362838745,0.340675692909695,1.0,True,0.16816795543015495,0.0
Cosmos3_seed101_0003,54,NO_DUP,1,3,0.3489082157611847,0.2266903519630432,0.2266903519630432,0.38614362478256226,0.0,0.0,False,0.08753503421024433,0.08753503421024433
