analysis_category,N,mean_size,median_size,mean_size_spatial,median_size_spatial
DEFORMATION,4,0.09191536508906348,0.0913172010599863,0.09191536508906348,0.0913172010599863
OBJECT_DUPLICATION,23,0.2749976596482196,0.2513443210420001,0.2733611301661594,0.2290790929462911
PART_DUPLICATION,1,0.2157969382588155,0.2157969382588155,0.2157969382588155,0.2157969382588155
SPONTANEOUS_OBJECT_APPEARANCE,3,0.08486813000798593,0.1226898150925912,0.08486813000798593,0.1226898150925912
UNTAGGED_NEGATIVE,23,0.15936109399776566,0.151230270019045,0.12960439879808766,0.1295689219219195
