case,frame,evidence
Cosmos2.5_0064,42,0.14417205886016077
Cosmos2.5_0064,45,0.15652472836924325
Cosmos2.5_0064,48,0.13329537399455932
Cosmos2.5_0064,51,0.14738047538314994
Cosmos2.5_0064,54,0.14576213124440449
Cosmos2.5_0064,57,0.16047831529006068
Cosmos2.5_0064,60,0.12667788109797726
Cosmos2.5_0064,63,0.10435085604395523
Cosmos2.5_0064,66,0.11207513139136563
Cosmos2.5_0064,69,0.10822729702634974
Cosmos2.5_0064,72,0.09107043235156795
Cosmos2.5_0064,75,0.1269788522042166
Cosmos2.5_0064,78,0.1607753473932183
Cosmos2.5_0064,81,0.13331875274495414
Cosmos2.5_0064,84,0.12011242001176814
Cosmos2.5_0064,87,0.13932867387857298
Cosmos2.5_0064,90,0.12107705692134642
Cosmos2.5_0064,92,0.11790707830223338
Cosmos3_seed101_0003,0,0.11993657705825218
Cosmos3_seed101_0003,3,0.09050698948507138
Cosmos3_seed101_0003,6,0.09270883278888749
Cosmos3_seed101_0003,9,0.08951794164253728
Cosmos3_seed101_0003,12,0.0926144959254823
Cosmos3_seed101_0003,15,0.0843893904561729
Cosmos3_seed101_0003,18,0.06246539149159722
Cosmos3_seed101_0003,21,0.06878953362256895
Cosmos3_seed101_0003,24,0.06005711528766338
Cosmos3_seed101_0003,27,0.09200356989837373
Cosmos3_seed101_0003,30,0.0990839077640171
Cosmos3_seed101_0003,33,0.12480104293613518
Cosmos3_seed101_0003,36,0.13261671107498266
Cosmos3_seed101_0003,39,0.10865324810960979
Cosmos3_seed101_0003,42,0.11816032394865092
Cosmos3_seed101_0003,45,0.3898701545286615
Cosmos3_seed101_0003,48,0.12709322788448268
Cosmos3_seed101_0003,51,0.1990179501494753
Cosmos3_seed101_0003,54,0.15129631026411314
Cosmos3_seed101_0003,57,0.14083795651440106
Cosmos3_seed101_0003,60,0.16902539391864504
Cosmos3_seed101_0003,63,0.19221705007031475
Cosmos3_seed101_0003,66,0.19043499947107173
Cosmos3_seed101_0003,69,0.16550996449298858
Cosmos3_seed101_0003,72,0.1999219230873242
Cosmos3_seed101_0003,75,0.18128677767943072
Cosmos3_seed101_0003,78,0.23124529573822558
Cosmos3_seed101_0003,81,0.18465130886633327
Cosmos3_seed101_0003,84,0.1999271930594007
Cosmos3_seed101_0003,87,0.18634652351971762
Cosmos3_seed101_0003,90,0.13127555987844644
Cosmos3_seed101_0003,93,0.12174522521710325
Cosmos3_seed101_0003,96,0.0768159021006912
Cosmos3_seed101_0003,99,0.09422888228485848
Cosmos3_seed101_0003,102,0.09506953497845051
Cosmos3_seed101_0003,105,0.07999918838326507
Cosmos3_seed101_0003,108,0.1064108829629883
Cosmos3_seed101_0003,111,0.07045703618491674
Cosmos3_seed101_0003,114,0.06584341533632881
Cosmos3_seed101_0003,117,0.07458309629521775
Cosmos3_seed101_0003,120,0.094404249075726
Cosmos3_seed101_0003,123,0.0
Cosmos3_seed101_0003,126,0.08385129347218905
Cosmos3_seed101_0003,129,0.06900716968642419
Cosmos3_seed101_0003,132,0.07033442634185144
Cosmos3_seed101_0003,135,0.09788977380039625
Cosmos3_seed101_0003,138,0.10197886841350193
Cosmos3_seed101_0003,141,0.09178435152141573
Cosmos3_seed101_0003,144,0.2922676740853217
Cosmos3_seed101_0003,147,0.2901355190049235
Cosmos3_seed101_0003,150,0.27306373619659374
Cosmos3_seed101_0003,153,0.26489992765011605
Cosmos3_seed101_0003,156,0.25200755096867183
Cosmos3_seed101_0003,159,0.303561950601412
Cosmos3_seed101_0003,162,0.2971952260495859
Cosmos3_seed101_0003,165,0.3423979810098522
Cosmos3_seed101_0003,168,0.344125678765675
Cosmos3_seed101_0003,171,0.24554616442060465
Cosmos3_seed101_0003,174,0.09159403864485259
Cosmos3_seed101_0003,177,0.08755667150224401
