case,frame,rank_a,rank_b,edge_gap_norm,base,size,strict_size,base_spatial,size_spatial,strict_size_spatial
Cosmos2.5_0016,27,1,2,1.427052278399394,0.112032669828018,0.0819436396563587,0.0653103685116087,0.112032669828018,0.0819436396563587,0.0653103685116087
Cosmos2.5_0016,30,1,2,1.3767695078089792,0.2106405842731959,0.1675386192752362,0.1500914649506508,0.2106405842731959,0.1675386192752362,0.1500914649506508
Cosmos2.5_0016,33,1,2,1.3351153215859302,0.2611479544333696,0.2233001107101469,0.2232102941649813,0.2611479544333696,0.2233001107101469,0.2232102941649813
Cosmos2.5_0016,36,1,2,1.2946615606226077,0.2549118001132855,0.2255279510961805,0.2209025150824537,0.2549118001132855,0.2255279510961805,0.2209025150824537
Cosmos2.5_0016,39,1,2,1.2950683336459246,0.2412341935890097,0.2125029002249794,0.2079590536155219,0.2412341935890097,0.2125029002249794,0.2079590536155219
Cosmos2.5_0016,42,1,2,1.2882226019666956,0.2923075804193583,0.2596320417762361,0.2518668744978611,0.2923075804193583,0.2596320417762361,0.2518668744978611
Cosmos2.5_0016,45,1,2,1.3157597906220455,0.2615459306479633,0.2323067631147579,0.22363113384459,0.2615459306479633,0.2323067631147579,0.22363113384459
Cosmos2.5_0016,48,1,2,1.3641140767176156,0.2492829864229776,0.2227047129273377,0.2156748613089542,0.2492829864229776,0.2227047129273377,0.2156748613089542
Cosmos2.5_0016,51,1,2,1.4305969715303681,0.2669652529528027,0.2386023525569532,0.2352131408495003,0.2669652529528027,0.2386023525569532,0.2352131408495003
Cosmos2.5_0016,54,1,2,1.436916802518035,0.2945864785124946,0.2643533035507461,0.2601265854719673,0.2945864785124946,0.2643533035507461,0.2601265854719673
Cosmos2.5_0016,57,1,2,1.4254783043668482,0.2781147946729868,0.249566364777224,0.2447703742690813,0.2781147946729868,0.249566364777224,0.2447703742690813
Cosmos2.5_0016,60,1,2,1.4083508872197323,0.2960746730768585,0.2653463984735454,0.2582825943824406,0.2960746730768585,0.2653463984735454,0.2582825943824406
Cosmos2.5_0016,60,1,3,0.8050865102648126,0.10412422982195,0.0706210634250098,0.060368851469602,0.10412422982195,0.0706210634250098,0.060368851469602
Cosmos2.5_0016,63,1,2,1.4105292899480688,0.2968844723190827,0.265556302876731,0.2586687432534705,0.2968844723190827,0.265556302876731,0.2586687432534705
Cosmos2.5_0016,63,1,3,0.8476552322728954,0.1289183903895512,0.0886945934248646,0.0781867560492518,0.1289183903895512,0.0886945934248646,0.0781867560492518
Cosmos2.5_0016,66,1,2,1.4038202689444839,0.2968432449994881,0.2650605082090522,0.2572776231299754,0.2968432449994881,0.2650605082090522,0.2572776231299754
Cosmos2.5_0016,69,1,2,1.399049140013662,0.280076746537453,0.2497783200203597,0.2422130075605724,0.280076746537453,0.2497783200203597,0.2422130075605724
Cosmos2.5_0016,72,1,2,1.398881830724614,0.2953726547245994,0.2628339088105098,0.2550366207632558,0.2953726547245994,0.2628339088105098,0.2550366207632558
Cosmos2.5_0016,75,1,2,1.3985388321778804,0.3051590744463748,0.2739027007467689,0.2646042436184371,0.3051590744463748,0.2739027007467689,0.2646042436184371
Cosmos2.5_0016,78,1,2,1.4388210804830108,0.2942639945408447,0.2618497903090799,0.2521210254796689,0.2942639945408447,0.2618497903090799,0.2521210254796689
Cosmos2.5_0016,81,1,2,1.482327738926943,0.2965391584427262,0.2609698219076083,0.2466337315611627,0.2965391584427262,0.2609698219076083,0.2466337315611627
Cosmos2.5_0016,84,1,2,1.505367092213379,0.2658529978592612,0.2346806554874632,0.2183837941300589,0.2658529978592612,0.2346806554874632,0.2183837941300589
Cosmos2.5_0016,87,1,2,1.5385819076923783,0.2845929871463946,0.2492631680719984,0.2296713644292409,0.2845929871463946,0.2492631680719984,0.2296713644292409
Cosmos2.5_0016,87,1,3,0.9263254716531192,0.1254044790869843,0.081235033624797,0.068620098304845,0.1254044790869843,0.081235033624797,0.068620098304845
