case,best_violation_score,best_violation_pred,best_violation_frames,max_dup_score,max_dup_frames,max_disappear_score,max_disappear_frames
Cosmos2.5_0016,99.3199598735373,C,"36,37,38,39,40,41",99.22866821289062,"36,37,38,39,40,41",0.6689270026981831,"16,17,18,19,20,21"
Cosmos3_seed101_0003,0.2232033381005749,A,"108,109,110,111,112,113",0.07078050985001028,"96,97,98,99,100,101",0.015795737272128463,"164,165,166,167,168,169"
LVP_0004,0.5075651512015611,A,"40,41,42,43,44,45",0.31642476096749306,"40,41,42,43,44,45",0.11640615994110703,"40,41,42,43,44,45"
