case,frame,gt,dinov2_frame_score,best_pair,src_sim_a,src_sim_b,pair_similarity,containment,nested
Cosmos2.5_0016,33,TRUE_DUP,0.10687423649740069,1-2,0.23518022894859314,0.17109960317611694,0.6246317028999329,0.0,False
Cosmos2.5_0016,60,TRUE_DUP,0.10289283811373195,1-2,0.20242992043495178,0.1695624589920044,0.6068137884140015,0.0,False
Cosmos3_seed101_0003,30,NO_DUP,0.08142576704622906,1-3,0.24025587737560272,0.33326974511146545,0.338912695646286,0.0,False
Cosmos3_seed101_0003,54,NO_DUP,0.08753503421024433,1-3,0.3489082157611847,0.2266903519630432,0.38614362478256226,0.0,False
Cosmos3_seed101_0003,99,NO_DUP,0.0780694674870448,1-2,0.2994552254676819,0.23261556029319763,0.3356158435344696,0.0,False
Cosmos3_seed101_0003,123,NO_DUP,0.0,1-2,0.3729254901409149,0.3165346384048462,0.8392143249511719,1.0,True
Cosmos3_seed101_0003,144,TRUE_DUP,0.1529469581827385,1-3,0.22778254747390747,0.313215434551239,0.6714603900909424,0.0,False
Cosmos3_seed101_0003,156,TRUE_DUP,0.15349991712189137,1-2,0.4193533658981323,0.255174458026886,0.6015489101409912,0.0,False
Cosmos3_seed101_0003,162,TRUE_DUP,0.18393358123081072,1-2,0.289270281791687,0.29580405354499817,0.6358537077903748,0.0,False
Cosmos3_seed101_0003,168,TRUE_DUP,0.18452570015808334,1-2,0.2702973484992981,0.2544488310813904,0.7251976728439331,0.0,False
LVP_0004,12,NO_DUP,0.11660038615898927,2-3,0.23249253630638123,0.2670220732688904,0.5015231370925903,0.0,False
LVP_0004,15,NO_DUP,0.11119744406573773,1-2,0.2865599989891052,0.29692065715789795,0.3880424499511719,0.0,False
LVP_0004,18,NO_DUP,0.0852627525912264,1-2,0.19669200479984283,0.2593185305595398,0.4334835708141327,0.0,False
LVP_0004,30,NO_DUP,0.14519024890979892,1-2,0.3422960638999939,0.2677682936191559,0.5422234535217285,0.0,False
