case,frame,prompt,raw_detections,count_012,count_020,count_030,max_score
Cosmos3_seed101_0003,126,yellow cube,10,7,3,1,0.5282555818557739
Cosmos3_seed101_0003,129,yellow cube,10,6,3,1,0.5534143447875977
Cosmos3_seed101_0003,132,yellow cube,9,5,3,1,0.5445278882980347
Cosmos3_seed101_0003,135,yellow cube,7,5,1,1,0.6026799082756042
Cosmos3_seed101_0003,138,yellow cube,8,5,1,1,0.6070942282676697
Cosmos3_seed101_0003,141,yellow cube,8,5,1,1,0.6243136525154114
Cosmos3_seed101_0003,144,yellow cube,10,6,2,1,0.606303870677948
Cosmos3_seed101_0003,147,yellow cube,8,5,2,1,0.5697075128555298
Cosmos3_seed101_0003,150,yellow cube,7,5,2,1,0.5929019451141357
Cosmos3_seed101_0003,153,yellow cube,8,5,2,1,0.6089485287666321
Cosmos3_seed101_0003,156,yellow cube,8,5,2,1,0.6193704009056091
Cosmos3_seed101_0003,159,yellow cube,8,5,2,1,0.608548641204834
Cosmos3_seed101_0003,162,yellow cube,8,5,2,1,0.6036368012428284
Cosmos3_seed101_0003,165,yellow cube,8,5,2,1,0.584351658821106
Cosmos3_seed101_0003,168,yellow cube,10,6,2,1,0.5788214206695557
Cosmos3_seed101_0003,171,yellow cube,9,6,2,1,0.5799427032470703
Cosmos3_seed101_0003,174,yellow cube,9,4,1,1,0.6248315572738647
Cosmos3_seed101_0003,177,yellow cube,8,4,1,1,0.6352819204330444
Cosmos3_seed101_0003,180,yellow cube,7,4,1,1,0.644210159778595
Cosmos3_seed101_0003,183,yellow cube,7,4,1,1,0.6436948180198669
Cosmos3_seed101_0003,186,yellow cube,7,4,1,1,0.6606186032295227
Cosmos3_seed101_0003,188,yellow cube,7,4,1,1,0.6494480967521667
LVP_0004,0,yellow cube,5,3,1,1,0.6418354511260986
LVP_0004,3,yellow cube,6,4,2,1,0.6100879311561584
LVP_0004,6,yellow cube,4,4,2,1,0.5970650911331177
LVP_0004,9,yellow cube,5,4,1,1,0.5829532742500305
LVP_0004,12,yellow cube,17,10,4,1,0.4118386209011078
LVP_0004,15,yellow cube,19,9,3,1,0.39623305201530457
LVP_0004,18,yellow cube,18,8,5,1,0.37005865573883057
LVP_0004,21,yellow cube,15,8,3,1,0.4356089234352112
LVP_0004,24,yellow cube,17,9,3,1,0.3979627788066864
LVP_0004,27,yellow cube,17,8,3,2,0.3810727298259735
LVP_0004,30,yellow cube,21,9,5,1,0.3288576602935791
LVP_0004,33,yellow cube,15,7,5,2,0.3257894515991211
LVP_0004,36,yellow cube,20,8,5,2,0.32780054211616516
LVP_0004,39,yellow cube,20,10,5,1,0.3269347548484802
LVP_0004,42,yellow cube,17,10,5,2,0.3129500150680542
LVP_0004,45,yellow cube,16,8,4,0,0.2939583957195282
LVP_0004,48,yellow cube,18,8,4,1,0.307208776473999
