case,frame,score,pair_similarity,semantic_support,min_siglip,min_gdino,rank_a,rank_b,track_a,track_b,birth_a,birth_b,obs_a,obs_b,eligible
Cosmos2.5_0058,15,0.08444791252117961,0.3202137053012848,0.2637236043401818,0.6894094944000244,0.1008836403489112,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,18,0.1206163228243478,0.3581812977790832,0.3367465682106629,0.6821339130401611,0.1662404537200927,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,21,0.12186625532354263,0.293891966342926,0.41466344534693317,0.7821406126022339,0.2198399752378463,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,24,0.24038644289777006,0.5355935096740723,0.44882254649436243,0.858683168888092,0.2345937192440033,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,27,0.28963905085179115,0.6120738387107849,0.47320932955059763,0.8597110509872437,0.2604678273200989,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,30,0.27048454709762826,0.5706413984298706,0.47400091868881405,0.8640377521514893,0.2600313127040863,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,33,0.25100408782602135,0.5898227095603943,0.42555853438247454,0.7780967354774475,0.2327474951744079,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,36,0.21193678881450997,0.5941936373710632,0.3566796671741526,0.8099867105484009,0.1570647805929184,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,39,0.2538482742726173,0.4889046251773834,0.5192183939362746,0.8470611572265625,0.3182624280452728,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,42,0.27425437795442525,0.5019891262054443,0.5463352961995909,0.8377852439880371,0.3562753796577453,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,45,0.28026397983176216,0.5478748083114624,0.5115474841698404,0.8435566425323486,0.3102113306522369,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,48,0.31057615380212966,0.591279923915863,0.5252607796071959,0.8169950246810913,0.3376995921134949,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,51,0.3190805068565604,0.5646776556968689,0.5650666422470411,0.8199961185455322,0.3893924653530121,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,54,0.34517547346330674,0.5948339700698853,0.5802887710376613,0.7939081788063049,0.4241486191749573,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,57,0.3026961889797589,0.5532741546630859,0.547099817384538,0.7419226765632629,0.4034358561038971,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,60,0.2971752494855063,0.552005410194397,0.538355682747478,0.7349260449409485,0.3943619132041931,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,63,0.2791122101382189,0.502679705619812,0.5552486146105086,0.7538061141967773,0.4089924693107605,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,66,0.2953553889627359,0.5115256905555725,0.5774008899571551,0.7697048187255859,0.4331423938274383,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,69,0.33189453375625494,0.5634219646453857,0.5890692138087787,0.7915079593658447,0.4384068846702575,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,72,0.3227181946959643,0.5421697497367859,0.5952346010684633,0.8025610446929932,0.4414670169353485,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,75,0.3177457158265753,0.5564413070678711,0.5710318622837588,0.7957359552383423,0.409780889749527,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,78,0.3186803007969248,0.5597051978111267,0.5693717014657131,0.826244056224823,0.3923588097095489,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,81,0.2719049222957451,0.4612740874290466,0.5894649834141608,0.8198581337928772,0.4238159656524658,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,84,0.3223464492483968,0.6044607758522034,0.5332793493406323,0.8640583157539368,0.3291292488574981,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,87,0.3248818803304838,0.6373960375785828,0.5097017571127119,0.8503103256225586,0.3055306673049927,1,2,T00,T01,0,15,32,27,True
Cosmos2.5_0058,90,0.2889002622794696,0.5525942444801331,0.5228072227774645,0.800055742263794,0.3416354358196258,1,2,T00,T01,0,15,32,27,True
