case,frame,rank_a,rank_b,pair_similarity,iou,containment,nested,gdino_a,gdino_b,siglip_source_a,siglip_source_b,sam_a,sam_b,crop_a,crop_b,track_a,track_b,birth_a,obs_a,life_a,birth_b,obs_b,life_b,first_frame,post_initial_a,post_initial_b,persistent_a,persistent_b,new_persistent_a,new_persistent_b,has_new_persistent_track,spatially_distinct,eligible,min_siglip,min_gdino,semantic_support,dup_evidence,eligible_dup_evidence
Cosmos2.5_0058,39,2,3,0.1478813290596008,0.0189463986921509,1.0,True,0.3182624280452728,0.1003346890211105,0.8470611572265625,0.5482431650161743,0.97265625,0.98828125,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0039_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0039_rank_03.png,T01,T02,15,27,77,39,1,0,0,True,True,True,False,True,False,True,False,False,0.5482431650161743,0.1003346890211105,0.23453743298213023,0.034683707303624474,0.0
Cosmos2.5_0058,42,1,2,0.5019891262054443,0.0,0.0,False,0.5382283329963684,0.3562753796577453,0.9665707349777222,0.8377852439880371,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0042_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0042_rank_02.png,T00,T01,0,32,92,15,27,77,0,False,True,True,True,False,True,True,True,True,0.8377852439880371,0.3562753796577453,0.5463352961995909,0.27425437795442525,0.27425437795442525
Cosmos2.5_0058,42,1,3,0.4705824851989746,0.0,0.0,False,0.5382283329963684,0.1125428080558776,0.9665707349777222,0.7015450596809387,0.9765625,0.95703125,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0042_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0042_rank_03.png,T00,T03,0,32,92,42,18,50,0,False,True,True,True,False,True,True,True,True,0.7015450596809387,0.1125428080558776,0.28098727906120785,0.132227692089921,0.132227692089921
Cosmos2.5_0058,42,2,3,0.5547996759414673,0.3051280235542213,1.0,True,0.3562753796577453,0.1125428080558776,0.8377852439880371,0.7015450596809387,0.97265625,0.95703125,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0042_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0042_rank_03.png,T01,T03,15,27,77,42,18,50,0,True,True,True,True,True,True,True,False,False,0.7015450596809387,0.1125428080558776,0.28098727906120785,0.15589165136683275,0.0
Cosmos2.5_0058,45,1,2,0.5478748083114624,0.0,0.0,False,0.5502910614013672,0.3102113306522369,0.9499635696411132,0.8435566425323486,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0045_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0045_rank_02.png,T00,T01,0,32,92,15,27,77,0,False,True,True,True,False,True,True,True,True,0.8435566425323486,0.3102113306522369,0.5115474841698404,0.28026397983176216,0.28026397983176216
Cosmos2.5_0058,45,1,3,0.4420921206474304,0.0,0.0,False,0.5502910614013672,0.1141653880476951,0.9499635696411132,0.7072458863258362,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0045_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0045_rank_03.png,T00,T03,0,32,92,42,18,50,0,False,True,True,True,False,True,True,True,True,0.7072458863258362,0.1141653880476951,0.28415312959305083,0.12562185965039596,0.12562185965039596
Cosmos2.5_0058,45,2,3,0.6968173384666443,0.3249964400056505,1.0,True,0.3102113306522369,0.1141653880476951,0.8435566425323486,0.7072458863258362,0.96875,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0045_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0045_rank_03.png,T01,T03,15,27,77,42,18,50,0,True,True,True,True,True,True,True,False,False,0.7072458863258362,0.1141653880476951,0.28415312959305083,0.19800282747999715,0.0
Cosmos2.5_0058,48,1,2,0.591279923915863,0.0,0.0,False,0.538156270980835,0.3376995921134949,0.9477757215499878,0.8169950246810913,0.9765625,0.96484375,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0048_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0048_rank_02.png,T00,T01,0,32,92,15,27,77,0,False,True,True,True,False,True,True,True,True,0.8169950246810913,0.3376995921134949,0.5252607796071959,0.31057615380212966,0.31057615380212966
Cosmos2.5_0058,48,1,3,0.4274470806121826,0.0,0.0,False,0.538156270980835,0.1040560528635978,0.9477757215499878,0.7012025117874146,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0048_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0048_rank_03.png,T00,T03,0,32,92,42,18,50,0,False,True,True,True,False,True,True,True,True,0.7012025117874146,0.1040560528635978,0.2701191693209476,0.11546165034362689,0.11546165034362689
Cosmos2.5_0058,48,2,3,0.6206506490707397,0.3357396834068896,1.0,True,0.3376995921134949,0.1040560528635978,0.8169950246810913,0.7012025117874146,0.96484375,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0048_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0048_rank_03.png,T01,T03,15,27,77,42,18,50,0,True,True,True,True,True,True,True,False,False,0.7012025117874146,0.1040560528635978,0.2701191693209476,0.16764963776549519,0.0
