case,frame,rank,track_id,is_birth,match_dino,center_distance,match_cost,source_similarity,gdino_score,crop_path
Cosmos2.5_0036,0,1,T00,True,,,,0.9353830814361572,0.7974219918251038,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0000_rank_01.png
Cosmos2.5_0036,0,2,T01,True,,,,0.6408697366714478,0.1143990531563758,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0000_rank_02.png
Cosmos2.5_0036,0,3,T02,True,,,,0.6119279861450195,0.1016993448138237,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0000_rank_03.png
Cosmos2.5_0036,3,1,T00,False,0.9002407193183899,0.0003494337297636264,0.07490681894364849,0.8663011789321899,0.7855073809623718,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0003_rank_01.png
Cosmos2.5_0036,3,3,T01,False,0.7188053131103516,0.021039989620236316,0.21615601257229541,0.6099838614463806,0.120252713561058,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0003_rank_03.png
Cosmos2.5_0036,3,2,T02,False,0.30691736936569214,0.3321941229951128,0.6028605037245091,0.6699734330177307,0.1153903901576995,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0003_rank_02.png
Cosmos2.5_0036,6,1,T00,False,0.9631556272506714,0.0011134797454860036,0.02791164949836796,0.8501127362251282,0.7590517401695251,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0006_rank_01.png
Cosmos2.5_0036,6,3,T01,False,0.8988291621208191,0.0008746252645942439,0.07609678472553424,0.6224497556686401,0.1083665937185287,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0006_rank_03.png
Cosmos2.5_0036,6,2,T02,False,0.7624553442001343,0.018269433146408748,0.18272585013650147,0.6417263746261597,0.1151273995637893,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0006_rank_02.png
Cosmos2.5_0036,9,2,T01,False,0.9673616290092468,0.0006854658850688623,0.024650144714332096,0.6238125562667847,0.1027691736817359,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0009_rank_02.png
Cosmos2.5_0036,9,1,T00,False,0.9432574510574341,0.00039897549727864424,0.042656655581244096,0.7763060331344604,0.7439025044441223,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0009_rank_01.png
Cosmos2.5_0036,9,3,T03,True,,,,0.600932240486145,0.1789017915725708,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0009_rank_03.png
Cosmos2.5_0036,12,3,T03,False,0.987369179725647,0.004358897692321485,0.010562839628845142,0.6058709621429443,0.1675406545400619,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0012_rank_03.png
Cosmos2.5_0036,12,1,T00,False,0.9692743420600891,0.0003166399113262908,0.023123403432764738,0.8647613525390625,0.7442945241928101,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0012_rank_01.png
Cosmos2.5_0036,12,2,T01,False,0.7818103432655334,0.01932162423353179,0.16847264860923286,0.6181515455245972,0.1000190079212188,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0012_rank_02.png
Cosmos2.5_0036,15,3,T01,False,0.9607921838760376,0.0009884870329823214,0.029652983851217382,0.6221455335617065,0.1176283210515976,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0015_rank_03.png
Cosmos2.5_0036,15,1,T00,False,0.950543224811554,0.0008042348263242568,0.037293640097915595,0.8282496333122253,0.7040117383003235,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0015_rank_01.png
Cosmos2.5_0036,15,2,T04,True,,,,0.6234102249145508,0.1962819248437881,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0015_rank_02.png
Cosmos2.5_0036,18,1,T00,False,0.9605650901794434,0.0008823880050297588,0.02979677936667492,0.8038862347602844,0.7260834574699402,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0018_rank_01.png
Cosmos2.5_0036,18,3,T03,False,0.8987860679626465,0.0067142881156797484,0.07758902105693508,0.6049580574035645,0.2330711185932159,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0018_rank_03.png
Cosmos2.5_0036,18,2,T04,False,0.7232248783111572,0.01368959663421892,0.2110037404251868,0.6301881074905396,0.1697554439306259,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0018_rank_02.png
Cosmos2.5_0036,21,3,T03,False,0.9864303469657898,0.001916059643387917,0.010656254686504633,0.609735906124115,0.2302005589008331,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0021_rank_03.png
Cosmos2.5_0036,21,1,T00,False,0.972062349319458,0.0006997664904162545,0.021128179633010558,0.8423445224761963,0.7290360331535339,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0021_rank_01.png
