case,n_frames,peak_frame,peak_score,median_score,mean_score,p90_score,frames_with_pair
Cosmos2.5_0036,32,0,0.5720272660255432,0.16051819920539856,0.17977520334534347,0.4046742230653765,27
Cosmos2.5_0057,32,75,0.699872612953186,0.4628385305404663,0.4672397724352777,0.6430561780929566,32
Cosmos3_seed101_0039,64,177,0.9259004592895508,0.3042133003473282,0.36934493761509657,0.5309762120246888,64
Cosmos3_seed101_0049,64,147,0.5791043639183044,0.0,0.09297370724380016,0.43896739780902877,17
LVP_0043,17,42,0.28247877955436707,0.20422300696372986,0.14693815918529735,0.24898249804973602,11
LVP_0062,17,0,0.0,0.0,0.0,0.0,0
