case,frame,rank,track_id,is_birth,match_dino,center_distance,match_cost,source_similarity,gdino_score,crop_path
Cosmos2.5_0058,0,1,T00,True,,,,0.969267964363098,0.8660951852798462,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0000_rank_01.png
Cosmos2.5_0058,3,1,T00,False,0.9465117454528809,0.00028066912810224647,0.040186358192364914,0.957352876663208,0.8538597822189331,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0003_rank_01.png
Cosmos2.5_0058,6,1,T00,False,0.9314546585083008,0.0010843894006214202,0.05168010346892977,0.9603431224822998,0.8425318598747253,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0006_rank_01.png
Cosmos2.5_0058,9,1,T00,False,0.9713019132614136,0.000614469986176115,0.02167718255048385,0.964569330215454,0.8292736411094666,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0009_rank_01.png
Cosmos2.5_0058,12,1,T00,False,0.974604606628418,0.00014035913704526416,0.01908163481294784,0.9696836471557616,0.8279156684875488,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0012_rank_01.png
Cosmos2.5_0058,15,1,T00,False,0.9579405784606934,0.00041219431965607624,0.031647614734394,0.941791296005249,0.7501586079597473,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0015_rank_01.png
Cosmos2.5_0058,15,2,T01,True,,,,0.6894094944000244,0.1008836403489112,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0015_rank_02.png
Cosmos2.5_0058,18,1,T00,False,0.9271745681762695,0.00023538363982393822,0.05467791977775384,0.9598249197006226,0.677425742149353,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0018_rank_01.png
Cosmos2.5_0058,18,2,T01,False,0.851271390914917,0.01791107945037345,0.11602422667640562,0.6821339130401611,0.1662404537200927,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0018_rank_02.png
Cosmos2.5_0058,21,1,T00,False,0.9274483919143677,0.00027431452529611265,0.05448228469554827,0.9631750583648682,0.6472281217575073,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0021_rank_01.png
