case,frame,rank,old_source_similarity,gdino_score,sam_score,mask_pixels,crop_path
Cosmos3_seed101_0003,123,2,0.735155463218689,0.4690057039260864,0.94921875,825,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0123_rank_02.png
Cosmos3_seed101_0003,123,3,0.6516382694244385,0.13591447472572327,0.9609375,4968,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0123_rank_03.png
Cosmos3_seed101_0003,141,1,0.8558263778686523,0.6243136525154114,0.95703125,643,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0141_rank_01.png
Cosmos3_seed101_0003,141,2,0.6252299547195435,0.12426353991031647,0.86328125,866,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0141_rank_02.png
Cosmos3_seed101_0003,141,3,0.5959345698356628,0.10581520944833755,0.96484375,4687,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0141_rank_03.png
Cosmos3_seed101_0003,144,1,0.8270624876022339,0.606303870677948,0.95703125,645,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0144_rank_01.png
Cosmos3_seed101_0003,144,2,0.7379939556121826,0.16328714787960052,0.94921875,1720,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0144_rank_02.png
Cosmos3_seed101_0003,144,3,0.733513593673706,0.25620657205581665,0.94140625,812,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0144_rank_03.png
Cosmos3_seed101_0003,156,1,0.8285282850265503,0.21168118715286255,0.9453125,1228,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0156_rank_01.png
Cosmos3_seed101_0003,156,2,0.8283078670501709,0.6193704009056091,0.95703125,643,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0156_rank_02.png
