case,frame,masked_pair_score,masked_pair_similarity,masked_min_source_similarity,top1_masked_source_similarity,top2_masked_source_similarity,bbox_pair_score
Cosmos2.5_0016,21,0.0,,,0.6891732215881348,,0.0
Cosmos2.5_0016,27,0.5326278771650266,0.7970606684684753,0.6682400703430176,0.7075203061103821,0.6682400703430176,0.7151301466201048
Cosmos2.5_0016,33,0.5773485280114556,0.8794848918914795,0.6564621329307556,0.7014540433883667,0.6564621329307556,0.6948068233911044
Cosmos2.5_0016,39,0.48651128455475856,0.8351057171821594,0.5825744867324829,0.6928159594535828,0.5825744867324829,0.8176049828713161
Cosmos2.5_0016,60,0.572977431054909,0.8366810083389282,0.6848218441009521,0.7287755012512207,0.6848218441009521,0.7971833728021096
Cosmos2.5_0016,78,0.5453797990079323,0.9095355272293091,0.599624514579773,0.6975401639938354,0.599624514579773,0.8217300082620937
Cosmos3_seed101_0003,30,0.6465125800942317,0.8880364298820496,0.7280248403549194,0.7483148574829102,0.7280248403549194,0.5707399277878977
Cosmos3_seed101_0003,54,0.5818282964603014,0.8035233020782471,0.7240963578224182,0.8189303874969482,0.7240963578224182,0.5744885763885321
Cosmos3_seed101_0003,99,0.5502736832275019,0.7846129536628723,0.701331377029419,0.72989422082901,0.720964789390564,0.5427885373124184
Cosmos3_seed101_0003,123,0.6942760076743753,0.9371416568756104,0.7408442497253418,0.7873098850250244,0.7408442497253418,0.6576848691095805
Cosmos3_seed101_0003,141,0.554421005244059,0.7821875810623169,0.7088082432746887,0.712498664855957,0.7088082432746887,0.4856585649010512
Cosmos3_seed101_0003,144,0.635133346845052,0.878192663192749,0.7232277989387512,0.7598186731338501,0.7232277989387512,0.6646798014164972
Cosmos3_seed101_0003,156,0.6296960580402171,0.8718419671058655,0.7222594022750854,0.7437636852264404,0.7222594022750854,0.6996812157339605
Cosmos3_seed101_0003,162,0.6249851066765473,0.898506224155426,0.695582389831543,0.7552521228790283,0.695582389831543,0.6873861968245372
Cosmos3_seed101_0003,168,0.620248011955411,0.8996771574020386,0.6894117593765259,0.7315245866775513,0.6894117593765259,0.6912366054645247
Cosmos3_seed101_0003,177,0.44605069053190505,0.6753656268119812,0.6604580879211426,0.7783834934234619,0.6604580879211426,0.4125029917254501
LVP_0004,9,0.2953469664336623,0.5027033686637878,0.5875173807144165,0.6180031299591064,0.5875173807144165,0.4942147417635709
LVP_0004,12,0.5867541064648805,0.8674539923667908,0.6764094829559326,0.7278008460998535,0.6764094829559326,0.6200568004707314
LVP_0004,15,0.5874722859404713,0.8055791258811951,0.7292546033859253,0.7355775833129883,0.7292546033859253,0.6270862889548567
LVP_0004,18,0.5169803160405024,0.794913649559021,0.6503603458404541,0.6773397922515869,0.6503603458404541,0.606798741914659
LVP_0004,30,0.5488110235097565,0.7931156158447266,0.6919685006141663,0.7410604953765869,0.6919685006141663,0.6694161362824147
LVP_0004,39,0.506839189145488,0.7438524961471558,0.6813705563545227,0.7495225667953491,0.6880911588668823,0.5709551849255945
LVP_0004,45,0.4929864508217463,0.771972119808197,0.6386065483093262,0.8226064443588257,0.675562858581543,0.5570991133047016
