case,frame,n_candidates,top1_similarity,top2_similarity,top3_similarity
Cosmos2.5_0036,0,5,0.9353830814361572,0.6408697366714478,0.6119279861450195
Cosmos2.5_0036,3,6,0.8663011789321899,0.6699734330177307,0.6099838614463806
Cosmos2.5_0036,6,6,0.8501127362251282,0.6417263746261597,0.6224497556686401
Cosmos2.5_0036,9,5,0.7763060331344604,0.6238125562667847,0.600932240486145
Cosmos2.5_0036,12,5,0.8647613525390625,0.6181515455245972,0.6058709621429443
Cosmos2.5_0036,15,6,0.8282496333122253,0.6234102249145508,0.6221455335617065
Cosmos2.5_0036,18,5,0.8038862347602844,0.6301881074905396,0.6049580574035645
Cosmos2.5_0036,21,5,0.8423445224761963,0.6230276823043823,0.609735906124115
Cosmos2.5_0036,24,4,0.8247921466827393,0.6097385287284851,0.5788363218307495
Cosmos2.5_0036,27,5,0.8462184071540833,0.6286239624023438,0.6186690926551819
Cosmos2.5_0036,30,6,0.8147239685058594,0.6347572207450867,0.6301736235618591
Cosmos2.5_0036,33,5,0.8271841406822205,0.6235908269882202,0.606366753578186
Cosmos2.5_0036,36,7,0.6855987906455994,0.6392948031425476,0.6269925832748413
Cosmos2.5_0036,39,5,0.8356969952583313,0.6383630037307739,0.6245617866516113
Cosmos2.5_0036,42,5,0.8450853824615479,0.6414563655853271,0.6082054376602173
Cosmos2.5_0036,45,5,0.8250162601470947,0.6147398948669434,0.6136137843132019
Cosmos2.5_0036,48,5,0.7381120324134827,0.6160602569580078,0.5971245765686035
Cosmos2.5_0036,51,6,0.7744544744491577,0.662100613117218,0.6157352924346924
Cosmos2.5_0036,54,6,0.8246465921401978,0.662744402885437,0.6173031330108643
Cosmos2.5_0036,57,7,0.8677399158477783,0.6455965638160706,0.6353186368942261
Cosmos2.5_0036,60,6,0.870752215385437,0.6576697826385498,0.6166536808013916
Cosmos2.5_0036,63,5,0.8755393624305725,0.616256833076477,0.5969623327255249
Cosmos2.5_0036,66,6,0.8341985940933228,0.6595362424850464,0.6147679090499878
Cosmos2.5_0036,69,5,0.8516470193862915,0.6123809218406677,0.5800194144248962
Cosmos2.5_0036,72,4,0.8472452163696289,0.6098002791404724,0.5833439826965332
Cosmos2.5_0036,75,5,0.8461142182350159,0.6103715896606445,0.5982766151428223
Cosmos2.5_0036,78,4,0.8544157147407532,0.6073912978172302,0.5915676355361938
Cosmos2.5_0036,81,4,0.8421441316604614,0.6138197183609009,0.5679565668106079
Cosmos2.5_0036,84,6,0.8266996145248413,0.6658966541290283,0.6178895831108093
Cosmos2.5_0036,87,5,0.8101961016654968,0.614260733127594,0.6035556793212891
Cosmos2.5_0036,90,6,0.7891548871994019,0.6536719799041748,0.6194045543670654
Cosmos2.5_0036,92,5,0.826996922492981,0.6576460599899292,0.6122708320617676
Cosmos2.5_0057,0,5,0.9722316861152649,0.7249230146408081,0.7109590768814087
Cosmos2.5_0057,3,6,0.96709144115448,0.6925212144851685,0.6036499738693237
Cosmos2.5_0057,6,6,0.9099152088165283,0.7556853890419006,0.6256741285324097
Cosmos2.5_0057,9,7,0.8173150420188904,0.7831746339797974,0.7608507871627808
Cosmos2.5_0057,12,7,0.7897628545761108,0.7828365564346313,0.6849896907806396
Cosmos2.5_0057,15,8,0.7746984958648682,0.7726529836654663,0.6993333101272583
Cosmos2.5_0057,18,9,0.7754216194152832,0.7701237201690674,0.7204992175102234
Cosmos2.5_0057,21,8,0.8738983869552612,0.760806679725647,0.7327797412872314
Cosmos2.5_0057,24,8,0.8180798292160034,0.7602255344390869,0.7534147500991821
Cosmos2.5_0057,27,9,0.8527613878250122,0.8052806854248047,0.7543339729309082
Cosmos2.5_0057,30,8,0.7912410497665405,0.7469272017478943,0.7381900548934937
Cosmos2.5_0057,33,9,0.7861301898956299,0.7420302629470825,0.7377593517303467
Cosmos2.5_0057,36,9,0.7634804248809814,0.7580626010894775,0.7356719970703125
Cosmos2.5_0057,39,10,0.8076964616775513,0.7959854602813721,0.7615491151809692
Cosmos2.5_0057,42,10,0.766729474067688,0.7648847103118896,0.7477682828903198
Cosmos2.5_0057,45,7,0.7564706802368164,0.751537561416626,0.746801495552063
Cosmos2.5_0057,48,6,0.7860442399978638,0.751089334487915,0.6176263093948364
Cosmos2.5_0057,51,9,0.8948560953140259,0.7204673290252686,0.7110024690628052
Cosmos2.5_0057,54,9,0.7209615707397461,0.7142696380615234,0.6969029903411865
Cosmos2.5_0057,57,9,0.7686675786972046,0.7364776730537415,0.7231738567352295
Cosmos2.5_0057,60,10,0.733647346496582,0.7258022427558899,0.7004045844078064
Cosmos2.5_0057,63,10,0.7466272711753845,0.7332321405410767,0.713199257850647
Cosmos2.5_0057,66,10,0.7258216142654419,0.7192195653915405,0.6982043981552124
Cosmos2.5_0057,69,10,0.750724196434021,0.7456066608428955,0.7198256254196167
Cosmos2.5_0057,72,10,0.7272743582725525,0.7175049781799316,0.7059388160705566
Cosmos2.5_0057,75,9,0.7246325016021729,0.715451717376709,0.6901138424873352
Cosmos2.5_0057,78,9,0.7315496206283569,0.7207043170928955,0.7118399143218994
Cosmos2.5_0057,81,9,0.7283424139022827,0.7159461975097656,0.7023223638534546
Cosmos2.5_0057,84,9,0.7245070934295654,0.6996642351150513,0.6924248933792114
Cosmos2.5_0057,87,12,0.7350149154663086,0.725204348564148,0.6931715607643127
Cosmos2.5_0057,90,11,0.7370915412902832,0.609154462814331,0.6064136028289795
Cosmos2.5_0057,92,12,0.719893217086792,0.7011550664901733,0.6066744327545166
Cosmos3_seed101_0039,0,4,0.9609690308570862,0.6626429557800293,0.6612504720687866
Cosmos3_seed101_0039,3,4,0.9476197957992554,0.6695661544799805,0.6659228801727295
Cosmos3_seed101_0039,6,3,0.9471084475517273,0.6648993492126465,0.662163496017456
Cosmos3_seed101_0039,9,4,0.945354700088501,0.672179102897644,0.6711232662200928
Cosmos3_seed101_0039,12,4,0.9374537467956543,0.6668156981468201,0.6660782098770142
Cosmos3_seed101_0039,15,4,0.9227913022041321,0.6742103695869446,0.6722241640090942
Cosmos3_seed101_0039,18,4,0.9446945190429688,0.6794406175613403,0.6661372184753418
Cosmos3_seed101_0039,21,5,0.9321222901344299,0.6663336753845215,0.6581765413284302
Cosmos3_seed101_0039,24,4,0.9464925527572632,0.6855177879333496,0.6652735471725464
Cosmos3_seed101_0039,27,4,0.895391583442688,0.677316427230835,0.6521373987197876
Cosmos3_seed101_0039,30,4,0.9271100759506226,0.6877841949462891,0.6738176345825195
Cosmos3_seed101_0039,33,5,0.9117189049720764,0.6703853607177734,0.6560239791870117
Cosmos3_seed101_0039,36,6,0.9002838730812073,0.6740680932998657,0.6613174676895142
Cosmos3_seed101_0039,39,5,0.9101951122283936,0.6583924293518066,0.6467263102531433
Cosmos3_seed101_0039,42,5,0.9018493294715881,0.675024151802063,0.6407605409622192
Cosmos3_seed101_0039,45,5,0.9059842228889465,0.6858611106872559,0.6350984573364258
Cosmos3_seed101_0039,48,7,0.9156721234321594,0.6775023937225342,0.6622801423072815
Cosmos3_seed101_0039,51,6,0.893876314163208,0.6914952993392944,0.6596770286560059
Cosmos3_seed101_0039,54,6,0.8865703344345093,0.6838365793228149,0.6617898941040039
Cosmos3_seed101_0039,57,6,0.8897572159767151,0.6756218671798706,0.6696100234985352
Cosmos3_seed101_0039,60,7,0.9148848056793213,0.6780034303665161,0.675285816192627
Cosmos3_seed101_0039,63,5,0.908444344997406,0.6649284362792969,0.6312826871871948
Cosmos3_seed101_0039,66,5,0.892606258392334,0.6687865257263184,0.6271501779556274
Cosmos3_seed101_0039,69,6,0.8742777705192566,0.6668908596038818,0.6536323428153992
Cosmos3_seed101_0039,72,8,0.8600293397903442,0.6726686954498291,0.66683030128479
Cosmos3_seed101_0039,75,8,0.8592575788497925,0.6639997959136963,0.6524438858032227
Cosmos3_seed101_0039,78,5,0.8514999151229858,0.6658471822738647,0.6325565576553345
Cosmos3_seed101_0039,81,4,0.8556544184684753,0.6679929494857788,0.6231885552406311
Cosmos3_seed101_0039,84,5,0.8593088388442993,0.6672581434249878,0.6310222148895264
Cosmos3_seed101_0039,87,4,0.869088888168335,0.665420413017273,0.6291955709457397
Cosmos3_seed101_0039,90,5,0.8532598614692688,0.6628375053405762,0.6418452262878418
Cosmos3_seed101_0039,93,6,0.8513748645782471,0.6515661478042603,0.6209216117858887
Cosmos3_seed101_0039,96,6,0.8970981240272522,0.6503843069076538,0.6325474977493286
Cosmos3_seed101_0039,99,5,0.8999273777008057,0.6554476022720337,0.627543568611145
Cosmos3_seed101_0039,102,7,0.8568160533905029,0.6484085321426392,0.6429198980331421
Cosmos3_seed101_0039,105,6,0.8876394033432007,0.6481189727783203,0.6223658323287964
Cosmos3_seed101_0039,108,6,0.861764669418335,0.6569616198539734,0.6151494979858398
Cosmos3_seed101_0039,111,5,0.9036034345626831,0.6586627960205078,0.6254266500473022
Cosmos3_seed101_0039,114,6,0.8442453145980835,0.6589005589485168,0.6169968843460083
Cosmos3_seed101_0039,117,5,0.8898508548736572,0.6535289287567139,0.6284099221229553
Cosmos3_seed101_0039,120,5,0.885911226272583,0.6584839820861816,0.6305460929870605
Cosmos3_seed101_0039,123,3,0.8909128904342651,0.6562820672988892,0.6402001976966858
Cosmos3_seed101_0039,126,5,0.8656231164932251,0.647416889667511,0.6353733539581299
Cosmos3_seed101_0039,129,5,0.8294784426689148,0.6552543044090271,0.6310859322547913
Cosmos3_seed101_0039,132,6,0.8105001449584961,0.7891876697540283,0.6581270694732666
Cosmos3_seed101_0039,135,7,0.8386117219924927,0.7487799525260925,0.6738585829734802
Cosmos3_seed101_0039,138,10,0.7877556085586548,0.7530980110168457,0.6796380281448364
