case,frame,prompt,raw_detections,count_012,count_020,count_030,max_score
Cosmos3_seed101_0039,63,brown cube,5,2,1,1,0.7538808584213257
Cosmos3_seed101_0039,66,brown cube,5,3,1,1,0.7467746138572693
Cosmos3_seed101_0039,69,brown cube,6,4,1,1,0.7466097474098206
Cosmos3_seed101_0039,72,brown cube,8,6,1,1,0.7274662256240845
Cosmos3_seed101_0039,75,brown cube,8,5,1,1,0.7298973202705383
Cosmos3_seed101_0039,78,brown cube,5,3,1,1,0.7367176413536072
Cosmos3_seed101_0039,81,brown cube,4,3,1,1,0.7474467754364014
Cosmos3_seed101_0039,84,brown cube,5,4,1,1,0.7390202283859253
Cosmos3_seed101_0039,87,brown cube,4,4,1,1,0.7360924482345581
Cosmos3_seed101_0039,90,brown cube,5,5,1,1,0.7123466730117798
Cosmos3_seed101_0039,93,brown cube,6,5,1,1,0.7164164781570435
Cosmos3_seed101_0039,96,brown cube,6,5,1,1,0.7098939418792725
Cosmos3_seed101_0039,99,brown cube,5,4,1,1,0.7078664898872375
Cosmos3_seed101_0039,102,brown cube,7,5,1,1,0.7068066596984863
Cosmos3_seed101_0039,105,brown cube,6,5,1,1,0.7002592086791992
Cosmos3_seed101_0039,108,brown cube,6,5,1,1,0.7151968479156494
Cosmos3_seed101_0039,111,brown cube,5,5,1,1,0.7093226909637451
Cosmos3_seed101_0039,114,brown cube,6,4,1,1,0.6968864798545837
Cosmos3_seed101_0039,117,brown cube,5,4,1,1,0.6918120384216309
Cosmos3_seed101_0039,120,brown cube,5,5,1,1,0.6811148524284363
Cosmos3_seed101_0039,123,brown cube,3,3,1,1,0.6895523071289062
Cosmos3_seed101_0039,126,brown cube,5,4,1,1,0.7020304203033447
Cosmos3_seed101_0039,129,brown cube,5,4,1,1,0.7245257496833801
Cosmos3_seed101_0039,132,brown cube,7,4,1,1,0.46462082862854004
Cosmos3_seed101_0039,135,brown cube,8,6,2,1,0.5114073753356934
Cosmos3_seed101_0039,138,brown cube,11,8,2,2,0.5546495914459229
Cosmos3_seed101_0039,141,brown cube,13,8,5,2,0.5429759621620178
Cosmos3_seed101_0039,144,brown cube,16,12,4,2,0.5229281187057495
Cosmos3_seed101_0039,147,brown cube,14,12,4,2,0.5434156060218811
Cosmos3_seed101_0039,150,brown cube,12,10,6,2,0.5378803014755249
Cosmos3_seed101_0039,153,brown cube,14,11,4,2,0.5180642008781433
Cosmos3_seed101_0039,156,brown cube,13,11,5,2,0.511189341545105
Cosmos3_seed101_0039,159,brown cube,14,12,4,2,0.4834617078304291
Cosmos3_seed101_0039,162,brown cube,15,11,4,2,0.5203485488891602
Cosmos3_seed101_0039,165,brown cube,14,11,5,2,0.5080167055130005
Cosmos3_seed101_0039,168,brown cube,12,11,6,2,0.5118289589881897
Cosmos3_seed101_0039,171,brown cube,13,11,6,2,0.5042868852615356
Cosmos3_seed101_0039,174,brown cube,12,9,6,3,0.626240611076355
Cosmos3_seed101_0039,177,brown cube,12,9,4,3,0.6447811722755432
Cosmos3_seed101_0039,180,brown cube,11,7,3,3,0.6368038058280945
Cosmos3_seed101_0039,183,brown cube,11,8,3,3,0.6189270615577698
Cosmos3_seed101_0039,186,brown cube,9,7,3,2,0.6305503249168396
Cosmos3_seed101_0039,188,brown cube,8,7,3,3,0.6246359348297119
Cosmos3_seed101_0049,0,yellow banana,1,1,1,1,0.8288022875785828
Cosmos3_seed101_0049,3,yellow banana,1,1,1,1,0.8331946730613708
Cosmos3_seed101_0049,6,yellow banana,1,1,1,1,0.8435453176498413
Cosmos3_seed101_0049,9,yellow banana,1,1,1,1,0.8383496403694153
Cosmos3_seed101_0049,12,yellow banana,1,1,1,1,0.8362666368484497
Cosmos3_seed101_0049,15,yellow banana,1,1,1,1,0.8434054851531982
Cosmos3_seed101_0049,18,yellow banana,1,1,1,1,0.8249510526657104
Cosmos3_seed101_0049,21,yellow banana,1,1,1,1,0.8341374397277832
Cosmos3_seed101_0049,24,yellow banana,1,1,1,1,0.8187472224235535
Cosmos3_seed101_0049,27,yellow banana,1,1,1,1,0.820909857749939
Cosmos3_seed101_0049,30,yellow banana,1,1,1,1,0.820163905620575
Cosmos3_seed101_0049,33,yellow banana,1,1,1,1,0.8137150406837463
Cosmos3_seed101_0049,36,yellow banana,1,1,1,1,0.8090744614601135
Cosmos3_seed101_0049,39,yellow banana,1,1,1,1,0.8062480688095093
Cosmos3_seed101_0049,42,yellow banana,1,1,1,1,0.8049514293670654
Cosmos3_seed101_0049,45,yellow banana,1,1,1,1,0.8103424310684204
Cosmos3_seed101_0049,48,yellow banana,1,1,1,1,0.7912291288375854
Cosmos3_seed101_0049,51,yellow banana,1,1,1,1,0.7827286720275879
Cosmos3_seed101_0049,54,yellow banana,1,1,1,1,0.779768705368042
Cosmos3_seed101_0049,57,yellow banana,1,1,1,1,0.7810481786727905
Cosmos3_seed101_0049,60,yellow banana,1,1,1,1,0.7923572063446045
Cosmos3_seed101_0049,63,yellow banana,1,1,1,1,0.8033341765403748
Cosmos3_seed101_0049,66,yellow banana,1,1,1,1,0.8004913926124573
Cosmos3_seed101_0049,69,yellow banana,1,1,1,1,0.7981815338134766
Cosmos3_seed101_0049,72,yellow banana,1,1,1,1,0.8021198511123657
Cosmos3_seed101_0049,75,yellow banana,1,1,1,1,0.801706075668335
Cosmos3_seed101_0049,78,yellow banana,1,1,1,1,0.7927843928337097
Cosmos3_seed101_0049,81,yellow banana,1,1,1,1,0.7962958216667175
Cosmos3_seed101_0049,84,yellow banana,1,1,1,1,0.8008846640586853
Cosmos3_seed101_0049,87,yellow banana,1,1,1,1,0.8065664172172546
Cosmos3_seed101_0049,90,yellow banana,1,1,1,1,0.8314756155014038
Cosmos3_seed101_0049,93,yellow banana,1,1,1,1,0.8264549374580383
Cosmos3_seed101_0049,96,yellow banana,1,1,1,1,0.8274086117744446
Cosmos3_seed101_0049,99,yellow banana,1,1,1,1,0.8214356899261475
Cosmos3_seed101_0049,102,yellow banana,1,1,1,1,0.8115779161453247
Cosmos3_seed101_0049,105,yellow banana,1,1,1,1,0.8075203895568848
Cosmos3_seed101_0049,108,yellow banana,1,1,1,1,0.7734254002571106
Cosmos3_seed101_0049,111,yellow banana,2,1,1,1,0.7252269983291626
Cosmos3_seed101_0049,114,yellow banana,2,1,1,1,0.7249414920806885
Cosmos3_seed101_0049,117,yellow banana,5,2,1,1,0.6758908629417419
Cosmos3_seed101_0049,120,yellow banana,4,2,1,1,0.6599117517471313
Cosmos3_seed101_0049,123,yellow banana,4,2,1,1,0.6956770420074463
Cosmos3_seed101_0049,126,yellow banana,2,1,1,1,0.7371585965156555
Cosmos3_seed101_0049,129,yellow banana,6,4,1,1,0.6411424875259399
Cosmos3_seed101_0049,132,yellow banana,2,1,1,1,0.7495921850204468
Cosmos3_seed101_0049,135,yellow banana,3,2,1,1,0.606795608997345
Cosmos3_seed101_0049,138,yellow banana,1,1,1,1,0.7535927295684814
Cosmos3_seed101_0049,141,yellow banana,1,1,1,1,0.7741309404373169
Cosmos3_seed101_0049,144,yellow banana,1,1,1,1,0.8161632418632507
Cosmos3_seed101_0049,147,yellow banana,3,3,1,1,0.7563353180885315
Cosmos3_seed101_0049,150,yellow banana,1,1,1,1,0.8238124847412109
Cosmos3_seed101_0049,153,yellow banana,1,1,1,1,0.78274005651474
Cosmos3_seed101_0049,156,yellow banana,2,1,1,1,0.7434053421020508
Cosmos3_seed101_0049,159,yellow banana,2,1,1,1,0.7182645797729492
Cosmos3_seed101_0049,162,yellow banana,1,1,1,1,0.7359601855278015
Cosmos3_seed101_0049,165,yellow banana,4,3,1,1,0.6531251668930054
Cosmos3_seed101_0049,168,yellow banana,7,4,1,1,0.6045081615447998
Cosmos3_seed101_0049,171,yellow banana,9,3,1,1,0.5441914796829224
Cosmos3_seed101_0049,174,yellow banana,8,4,2,1,0.5182263255119324
Cosmos3_seed101_0049,177,yellow banana,6,4,2,1,0.5566132068634033
Cosmos3_seed101_0049,180,yellow banana,3,2,1,1,0.6361848711967468
Cosmos3_seed101_0049,183,yellow banana,3,2,1,1,0.6310014128684998
