case,frame,best_pair_score,pair_similarity,min_source_similarity,source_sim_a,source_sim_b
Cosmos2.5_0016,0,0.0,,,,
Cosmos2.5_0016,3,0.0,,,,
Cosmos2.5_0016,6,0.0,,,,
Cosmos2.5_0016,9,0.0,,,,
Cosmos2.5_0016,12,0.0,,,,
Cosmos2.5_0016,15,0.0,,,,
Cosmos2.5_0016,18,0.0,,,,
Cosmos2.5_0016,21,0.0,,,,
Cosmos2.5_0016,24,0.0,,,,
Cosmos2.5_0016,27,0.7151301466201048,0.8618141412734985,0.8297962546348572,0.937042474746704,0.8297962546348572
Cosmos2.5_0016,30,0.7572822466050511,0.8899472951889038,0.850929319858551,0.9367454051971436,0.850929319858551
Cosmos2.5_0016,33,0.6948068233911044,0.850487470626831,0.8169512748718262,0.9407789707183838,0.8169512748718262
Cosmos2.5_0016,36,0.7798701720908596,0.9003064036369324,0.8662275075912476,0.942440152168274,0.8662275075912476
Cosmos2.5_0016,39,0.8176049828713161,0.9162137508392334,0.8923736214637756,0.9347144365310668,0.8923736214637756
Cosmos2.5_0016,42,0.7526739713080133,0.8880186080932617,0.847588062286377,0.9336470365524292,0.847588062286377
Cosmos2.5_0016,45,0.7810146043661632,0.898402988910675,0.8693366050720215,0.9316742420196532,0.8693366050720215
Cosmos2.5_0016,48,0.8052860821627661,0.9131316542625427,0.8818948268890381,0.9398305416107178,0.8818948268890381
Cosmos2.5_0016,51,0.7719136809722897,0.8955111503601074,0.8619810938835144,0.9401363730430604,0.8619810938835144
Cosmos2.5_0016,54,0.7914819251596583,0.8988882899284363,0.880511999130249,0.9454519748687744,0.880511999130249
Cosmos2.5_0016,57,0.8066001393251128,0.9135434627532959,0.8829357028007507,0.953837513923645,0.8829357028007507
Cosmos2.5_0016,60,0.7971833728021096,0.8975808024406433,0.8881466388702393,0.9555574059486388,0.8881466388702393
Cosmos2.5_0016,63,0.8047873434102684,0.9045369029045105,0.8897230625152588,0.9483418464660645,0.8897230625152588
Cosmos2.5_0016,66,0.7969137187113731,0.8935480713844299,0.8918532133102417,0.9416457414627076,0.8918532133102417
Cosmos2.5_0016,69,0.8124100919270738,0.9073719382286072,0.895344078540802,0.9375835061073304,0.895344078540802
Cosmos2.5_0016,72,0.7868166710691682,0.8940368890762329,0.8800718188285828,0.9388000965118408,0.8800718188285828
Cosmos2.5_0016,75,0.7819139975892853,0.8955947160720825,0.873066782951355,0.9374879598617554,0.873066782951355
Cosmos2.5_0016,78,0.8217300082620937,0.9199920296669006,0.8931925296783447,0.9439752101898192,0.8931925296783447
Cosmos2.5_0016,81,0.8098309910536159,0.9076094031333923,0.892268180847168,0.9414305686950684,0.892268180847168
Cosmos2.5_0016,84,0.7813825040560829,0.8909519910812378,0.8770197629928589,0.938252568244934,0.8770197629928589
Cosmos2.5_0016,87,0.814117208929801,0.9137319326400757,0.8909803628921509,0.9399097561836244,0.8909803628921509
Cosmos2.5_0016,90,0.7686395713689009,0.8802584409713745,0.873197615146637,0.9350996017456056,0.873197615146637
Cosmos2.5_0016,92,0.7875871676167279,0.8963368535041809,0.8786731958389282,0.9305161833763124,0.8786731958389282
Cosmos3_seed101_0003,0,0.44524672965779644,0.6787747740745544,0.655956506729126,0.9835569858551024,0.655956506729126
Cosmos3_seed101_0003,3,0.3950141605287456,0.6399388313293457,0.6172686219215393,0.9881759881973268,0.6172686219215393
