case,frame,n_proposals,top1_similarity,top2_similarity
Cosmos3_seed101_0003,180,5,0.8040027022361755,0.5788872241973877
Cosmos3_seed101_0003,183,5,0.8405543565750122,0.5798190832138062
Cosmos3_seed101_0003,186,5,0.8250662088394165,0.6337869167327881
Cosmos3_seed101_0003,188,5,0.8557041883468628,0.6064960956573486
LVP_0004,0,4,0.9576781988143921,0.6422678828239441
LVP_0004,3,4,0.9172200560569763,0.6483328342437744
LVP_0004,6,4,0.888701856136322,0.6226667761802673
LVP_0004,9,4,0.8822458982467651,0.6368669867515564
LVP_0004,12,11,0.7861095666885376,0.7259721159934998
LVP_0004,15,12,0.8251073956489563,0.7493254542350769
LVP_0004,18,12,0.7785374522209167,0.7489974498748779
LVP_0004,21,12,0.7962527871131897,0.7358166575431824
LVP_0004,24,12,0.769964873790741,0.726457953453064
LVP_0004,27,10,0.7718378305435181,0.7472633719444275
LVP_0004,30,12,0.7690397500991821,0.7459002733230591
LVP_0004,33,9,0.7358067035675049,0.7332383394241333
LVP_0004,36,12,0.7331193685531616,0.6770864129066467
LVP_0004,39,12,0.7299221158027649,0.6655012369155884
LVP_0004,42,12,0.7307197451591492,0.6631851196289062
LVP_0004,45,10,0.7437080144882202,0.691474437713623
LVP_0004,48,11,0.7299613952636719,0.6716064214706421
